"Codigo interno";"Código FONASA";"CONSULTAS Y ATENCION MEDICA";valor
6642;101316;"Consulta Médica de Especialidad en Cirugía Plástica y Reparadora";72660
8890;101317;"Consulta Médica de Especialidad en Cirugía Pediátrica";83040
3149;101318;"Consulta Médica de Especialidad en Cirugía Vascular Periférica";62280
6179;101319;"Consulta Médica de Especialidad en Coloproctología";10380
5627;101320;"Consulta Médica de Especialidad en Diabetología";103800
4933;101321;"Consulta Médica de Especialidad en Enfermedades Respiratorias Adulto";72660
2002;101322;"Consulta Médica de Especialidad en Enfermedades Respiratorias Pediátricas";72660
1768;101323;"Consulta Médica de Especialidad en Gastroenterología Adulto";20760
8547;101324;"Consulta Médica de Especialidad en Gastroenterología Pediátrico";51900
1319;101325;"Consulta Médica de Especialidad en Genética Clínica";62280
8532;101326;"Consulta Médica de Especialidad en Nefrología Adulto";72660
2534;101327;"Consulta Médica de Especialidad en Nefrología Pediátrico";10380
1415;101328;"Consulta Médica de Especialidad en Neonatología";103800
6780;101329;"Consulta Médica de Especialidad en Anestesiología";10380
3102;101330;"Consulta Médica de Especialidad en Medicina de Urgencia";10380
6835;101331;"Consulta Médica de Especialidad en Radioterapia Oncológica";31140
5967;101332;"Consulta Médica de Especialidad en Ginecología Pediátrica y de la Adolescencia";62280
8779;101333;"Consulta Médica de Especialidad en Medicina Materno Fetal";103800
6567;102002;"Control de salud niño con EDP por enfermera";11040
2286;102003;"Consulta o control por auxiliar de enfermería";900
2010;102005;"Consulta por fonoaudiólogo";13200
8886;102008;"Consulta o control por enfermera";4860
5948;102009;"Consulta o control por matrona";1620
2302;102010;"Consulta o control por nutricionista";14580
4964;102011;"Consulta quimico farmaceutico";16200
6384;103001;"Educación de grupo por médico";47790
1500;103003;"Educación de grupo por asistente social";11680
4775;103004;"Educación de grupo por auxiliar de enfermería";7200
3316;103005;"Educación de grupo por enfermera";14600
9085;103006;"Educación de grupo por matrona";26280
2578;103007;"Educación de grupo por nutricionista";2920
1299;104002;"Visita a domicilio por asistente social";15180
4386;104003;"Visita a domicilio por auxiliar de enfermería";5840
5234;104004;"Visita a domicilio por enfermera";10120
8934;104005;"Visita a domicilio por matrona";15180
6597;104006;"Visita a domicilio por nutricionista";10120
9555;106002;"Curación simple ambulatoria";5820
7155;106007;"Oxigenoterapia Hiperbárica (1 sesión)";90090
8102;106101;"Atención Integral de Acupuntura";70000
1423;107001;"Consulta médica pericial por licencia médica";56000
9609;107002;"Evaluación médica por invalidez";48000
2598;107003;"Visita domiciliaria inspectiva por comisión";125900
5714;107004;"Evaluación médico-legal por comisión";8890
7329;107005;"Arbitrajes por apelación contra ISAPRE";62230
1701;108001;"Teleconsulta Medicina General";48480
6858;108201;"Teleconsulta Médica de Especialidad en Dermatología";34520
8862;108202;"Teleconsulta Médica de Especialidad en Geriatría";86300
4333;108206;"Teleconsulta Médica de Especialidad en Reumatología";51780
1550;108207;"Teleconsulta Médica de Especialidad en Endocrinología Adulto";25890
4893;108208;"Teleconsulta Médica de Especialidad en Endocrinología Pediátrica";51780
7751;108209;"Teleconsulta Médica de Especialidad en Neurología Adultos";51780
1436;108210;"Teleconsulta Médica de Especialidad en Neurología Pediátrica";34520
3308;108211;"Teleconsulta Médica de Especialidad en Oncología Médica";69040
5099;108212;"Teleconsulta Médica de Especialidad en Psiquiatría adultos";60410
9715;108213;"Teleconsulta Médica de Especialidad en Psiquiatría pediátrica y de la adolescencia";51780
3305;108301;"Teleconsulta Médica de Especialidad en Cardiología";69040
9524;108302;"Teleconsulta Médica de Especialidad en Hematología";8630
6348;108303;"Teleconsulta Médica de Especialidad en Infectología";34520
9705;108304;"Teleconsulta Médica de Especialidad en Inmunología";17260
3838;108305;"Teleconsulta Médica de Especialidad en Medicina Familiar";86300
3740;108306;"Teleconsulta Médica de Especialidad en Medicina Física y Rehabilitación";43150
3550;108307;"Teleconsulta Médica de Especialidad en Medicina Interna";60410
5508;108308;"Teleconsulta Médica de Especialidad en Obstetricia y Ginecología";34520
1939;108309;"Teleconsulta Médica de Especialidad en Pediatría";86300
1611;108310;"Teleconsulta Médica de Especialidad en Traumatología y Ortopedia";51780
4111;108311;"Teleconsulta Médica de Especialidad en Urología";60410
2026;108319;"Teleconsulta Médica de Especialidad en Coloproctología";17260
7024;108320;"Teleconsulta Médica de Especialidad en Diabetología";51780
8585;108321;"Teleconsulta Médica de Especialidad en Enfermedades Respiratorias Adulto";17260
6350;108322;"Teleconsulta Médica de Especialidad en Enfermedades Respiratorias Pediátricas";60410
3430;108323;"Teleconsulta Médica de Especialidad en Gastroenterología Adulto";51780
6430;108324;"Teleconsulta Médica de Especialidad en Gastroenterología Pediátrico";69040
4088;108325;"Teleconsulta Médica de Especialidad en Genética Clínica";51780
5103;108326;"Teleconsulta Médica de Especialidad en Nefrología Adulto";34520
1294;108327;"Teleconsulta Médica de Especialidad en Nefrología Pediátrico";43150
4431;108331;"Teleconsulta Médica de Especialidad en Radioterapia Oncológica";17260
6930;108203;"Teleconsulta Médica de Especialidad en Neurocirugía";34520
6114;108204;"Teleconsulta Médica de Especialidad en Oftalmología";25890
4942;108205;"Teleconsulta Médica de Especialidad en Otorrinolaringología";77670
4201;108312;"Teleconsulta Médica de Especialidad en Cirugía General";8630
2511;108313;"Teleconsulta Médica de Especialidad en Cirugía de Cabeza, Cuello y Maxilofacial";77670
8786;108314;"Teleconsulta Médica de Especialidad en Cirugía Cardiovascular";69040
8821;108315;"Teleconsulta Médica de Especialidad en Cirugía de Tórax";77670
7227;108316;"Teleconsulta Médica de Especialidad en Cirugía Plástica y Reparadora";34520
8551;108317;"Teleconsulta Médica de Especialidad en Cirugía Pediátrica";25890
1720;108318;"Teleconsulta Médica de Especialidad en Cirugía Vascular Periférica";25890
2329;108329;"Teleconsulta Médica de Especialidad en Anestesiología";8630
3687;108332;"Teleconsulta Médica de Especialidad en Ginecología Pediátrica y de la Adolescencia";60410
4758;108333;"Teleconsulta Médica de Especialidad en Medicina Materno Fetal";34520
5426;108334;"Teleconsulta Médica de Especialidad en Medicina Nuclear";17260
5689;108400;"Teleconsulta: Atención Integral de Nutricionista (incluye 3 sesiones)";174580
6934;109001;"Teleinterconsulta médica";25890
2658;109002;"Teleinterconsulta no médica";14680
7845;201010;"Dia Cama de Hospitalización Integral Cuidados Básicos";92560
5763;201110;"Dia Cama de Hospitalización Integral Cuidados Medios";312600
3620;201301;"Día Cama de Hospitalización Integral Adulto en Unidad de Tratamiento Intermedio (U.T.I)";387560
5819;201302;"Día Cama de Hospitalización Integral Pediátrica en Unidad de Tratamiento Intermedio (U.T.I)";387560
1828;201303;"Día Cama de Hospitalización Integral Neonatal en Unidad de Tratamiento Intermedio (U.T.I)";775120
8091;201201;"Día Cama de Hospitalización Integral Adulto en Unidad de Cuidado Intensivo (U.C.I.)";1002950
5446;201202;"Día Cama de Hospitalización Integral Pediátrica en Unidad de Cuidado Intensivo (U.C.I).";401180
4371;201203;"Día Cama de Hospitalización Integral Neonatal en Unidad de Cuidado Intensivo (U.C.I.)";1203540
7645;201410;"Día Cama de Hospitalización Integral Obstetricia";139020
9133;201403;"Día Cama de Hospitalización Integral Sala Cuna";37400
3594;201404;"Día Cama de Hospitalización Integral Incubadora";347720
9299;201405;"Día Cama de Hospitalización Integral Psiquiatría Cuidados Básicos";23760
7754;201406;"Día Cama de Hospitalización Integral Psiquiatría Cuidados Medios";137560
3215;201407;"Día Cama de Hospitalizacion Integral de Observación - Ambulatorio";68250
4338;201501;"Dia Cama Hospitalizacion Domiciliaria Cuidados Básicos";451700
5267;201502;"Dia Cama Hospitalizacion Domiciliaria Cuidados Medios";622080
9095;201503;"Dia Cama Hospitalizacion Domiciliaria Cuidados Alta Complejidad";460520
6012;301002;"Acido fólico o folatos";51300
8834;301003;"Adenograma, mielograma, c/u";38220
8010;301006;"Agregación plaquetaria con diferentes agonistas";4560
9589;301007;"Anticoagulantes circulantes o anticoagulante lúpico";45600
8004;301008;"Antitrombina III";41040
4930;301011;"Coagulación, tiempo de";12640
7898;301013;"Tiempo de lisis del coágulo";3540
6308;301014;"Prueba de antiglobulina directa";3750
3986;301017;"Deshidrogenasa glucosa-6-fosfato en eritrocitos";47900
8029;301020;"Tiempo de lisis de euglobulinas";3160
6908;301021;Fibrinógeno;20340
8671;301022;"Test de neutralización plaquetaria";13680
1263;301024;"Factor V";13560
6489;301025;"Factores VII, VIII, IX, X, XI, XII, XIII, c/u";14370
4513;301026;Ferritina;5820
7700;301027;"Fibrinógeno, productos de degradación del";47900
8323;301028;"Fierro sérico";9040
8150;301029;"Fierro, capacidad de fijación del (incluye fierro sérico)";14370
5864;301030;"Fierro, cinética del (cada determinación)";34920
4347;301034;"Clasificación sanguínea AB0 y RhD";2580
9447;301035;"Haptoglobina cuantitativa";38790
8105;301036;"Hematocrito (proc. aut.)";3550
5936;301038;"Hemoglobina en sangre total (proc. aut.)";6390
9470;301040;"Hemoglobina fetal cuantitativa en eritrocitos";33530
8586;301041;"Hemoglobina glicada A1c";29820
9459;301042;"Hemoglobina plasmática";6790
1377;301044;"Electroforesis de hemoglobina";5130
3776;301045;"Hemograma (incluye recuentos de leucocitos, eritrocitos, plaquetas, hemoglobina, hematocrito, fórmul";16400
1866;301048;"Hemosiderina medular";5820
5705;301049;"Cuantificación de heparina";9580
1584;301051;"Identificación de anticuerpos irregulares eritrocitarios";23950
1621;301054;Metahemoglobina;8750
4103;301059;"Tiempo de protrombina (incluye INR, Razón Internacional Normalizada)";3160
6948;301062;"Recuento de basófilos (absoluto)";3880
6437;301063;"Recuento de eosinófilos (absoluto)";3880
2012;301064;"Recuento de eritrocitos, absoluto (proc. aut.)";2130
4093;301065;"Recuento de leucocitos, absoluto (proc. aut.)";5680
4810;301066;"Recuento de linfocitos (absoluto)";8750
7484;301067;"Recuento de plaquetas (absoluto)";3750
6759;301068;"Recuento de reticulocitos (absoluto o porcentual)";9700
2831;301069;"Recuento diferencial o fórmula leucocitaria (proc. aut.)";11760
4115;301070;"Resistencia globular osmótica";9630
2917;301072;"Tiempo de sangría (no incluye dispositivo asociado)";9480
4323;301082;Transferrina;56600
6477;301083;"Trombina, tiempo de";7840
6009;301085;"Tromboplastina, tiempo parcial de (TTPA, TTPK o similares)";7500
6180;301086;"Velocidad de eritrosedimentación (proc. aut.)";1160
5209;301089;"Factor Von Willebrand antigénico (FVW:Ag)";64260
6856;301090;"Factor Von Willebrand antigénico Cofactor Ristocetina (FVW:CoRis)";36720
8471;301091;"Proteína C funcional";220500
7550;301092;"Proteína S";343100
8799;301093;"Resistencia a la Proteína C activada";45020
9022;301094;"Estudio de la hemoglobinuria paroxística nocturna (HPN) por citometría de flujo";437310
3341;301095;Dímero-D;21360
6166;301096;Procalcitonina;73440
7069;301097;"Inhibidor de factor de la coagulación";783900
7625;301098;"Secreción plaquetaria con diferentes agonistas";341200
1684;301099;"Tiempo de veneno de víbora de Russell diluído";208080
9230;301100;"Antitrombina III antigénica";313110
6302;301101;"Actividad anti-factor X activado";156480
4944;301102;"Tiempo de tromboplastina parcial activado (TTPA) con mezcla de plasma normal";23180
2153;301103;Mioglobina;219100
7365;301104;Tromboelastografia;469700
9494;301105;"Mutación JAK-2";471480
7485;301106;"Hematocrito automatizado (en contador hematológico)";36610
1929;301107;"Recuento de reticulocitos (absoluto o porcentual) automatizado";6070
9381;301108;"Ensayo de unión a colágeno";327600
5402;301109;"Multimeros del factor Von Willebrand";540000
8636;301110;"Factor V Leiden";172980
8089;301111;"Mutación G20210A del gen de la protrombina";75900
3295;301112;"Anticuerpos antiplaquetarios";231020
6171;301113;"Folato Eritrocitario";129540
9849;301114;"Proteína C antigénica";537120
3435;301115;"Tipificación antigénica de las plaquetas";372600
6864;301116;"Hemoglobina Glicada, A1c, test rápido en el lugar de asistencia (incluye toma de muestra sangre capi";49700
7244;302001;"Cuerpos cetónicos en sangre";7120
2811;302002;"Acido cítrico";14940
4797;302004;"Lactato en sangre";20250
7650;302005;"Acido úrico, en sangre";10320
6821;302008;"Amilasa, en sangre";25300
2126;302009;"Aminoácidos, cualitativo en sangre";36000
5580;302010;Amonio;11300
2957;302070;"Apolipoproteínas (A1, B u otras) c/u";21060
7083;302011;"Bicarbonato (proc. aut.)";7100
2131;302012;"Bilirrubina total (proc. aut.)";4290
4977;302013;"Bilirrubina total y conjugada";1580
9565;302015;"Calcio en sangre";12500
5258;302017;Caroteno;20340
9594;302018;"Caroteno, prueba de sobrecarga de";41040
4721;302019;Ceruloplasmina;27920
3702;302020;"Cobre en sangre";9960
2496;302067;"Colesterol total (proc. aut.)";1480
7624;302068;"Colesterol HDL (proc. aut.)";19800
9065;302021;"Colinesterasa en suero o plasma";12800
8100;302023;"Creatinina en sangre";7250
3956;302024;"Clearance de creatinina (proc.aut.)";25600
4470;302025;"Creatinquinasa CK - MB actividad";5130
5457;302026;"Creatinquinasa CK - total";31280
6026;302027;Troponina;32040
7236;302030;"Deshidrogenasa láctica total (LDH)";16380
4826;302031;"Deshidrogenasa láctica total (LDH), con separación de isoenzimas";38220
3607;302032;"Electrolitos plasmáticos (sodio, potasio, cloro) c/u";2660
1996;302033;"Enzima convertidora de angiotensina I";63700
1455;302034;"Perfil lipídico (incluye mediciones de colesterol total, HDL-colesterol y triglicéridos con estimaci";54160
1703;302035;"Fármacos y/o drogas; niveles plasmáticos de (alcohol, anorexígenos, antiarrítmicos, antibióticos, an";24360
8035;302039;"Fosfatasas alcalinas con separación de isoenzimas hepáticas, intestinales, óseas c/u";6190
4387;302040;"Fosfatasas alcalinas totales";8760
3241;302042;"Fósforo (fosfatos) en sangre";9400
9315;302043;Galactosa;6390
4117;302045;"Gamma glutamiltranspeptidasa (GGT)";7260
5053;302046;"Gases y equilibrio ácido base en sangre (incluye: pH, O2, CO2, exceso de base y bicarbonato), todos ";8060
8610;302047;"Glucosa en sangre";5800
8135;302048;"Glucosa, Prueba de Tolerancia a la Glucosa Oral (PTGO), (dos determinaciones)";52000
6446;302050;"Adenosindeaminasa en sangre u otro fluido biológico (ADA)";4790
5170;302052;"Leucinaminopeptidasa (LAP)";22600
1376;302053;"Lipasa en sangre";17430
5641;302055;"Litio en sangre";28800
3752;302056;"Magnesio en sangre";19200
5144;302057;"Nitrógeno ureico y/o urea, en sangre";1450
6261;302058;"Osmolalidad en sangre";3660
5250;302075;"Perfil bioquímico (determinación automatizada de 12 parámetros)";73440
3243;302100;"Proteínas totales en sangre";9420
7635;302101;"Albúminas en sangre";3140
1787;302061;"Electroforesis de Proteínas (incluye cód. 03-02-100 y 03-02-101 )";46620
7830;302076;"Perfil Hepático (incluye tiempo de protrombina, bilirrubina total y conjugada, fosfatasas alcalinas ";103680
5486;302063;"Transaminasas, oxalacética (GOT/AST), Pirúvica (GPT/ALT), c/u";8320
4676;302064;"Triglicéridos en sangre (proc.aut.)";18900
4028;302066;"Xilosa, prueba de absorción";6780
9449;302077;"Vitamina B12 por inmunoensayo";15480
7476;302078;"25 OH Vitamina D Total por inmunoensayo (Quimioluminiscencia, Enzimoinmunoensayo, Radio inmunoensayo";92580
8486;302080;"Vitamina B6 por HPLC";390320
2297;302081;"Calcio iónico. Incluye medición de pH método ión selectivo. No incluye Point of Care Testing POCT";6630
5973;302082;"Fenilalanina Cuantitativa en Gotas de Sangre Seca";43500
6656;302083;Carboxihemoglobina;85160
8306;302084;"Plomo en sangre";209100
8516;302085;Prealbumina;170600
4294;302086;Homocisteína;114900
9228;302087;Co-oximetría;70920
4990;302088;"Nivel de Carnitina";58460
5128;302089;"Lipoproteina (A)";144000
8506;302090;"Bilirrubina neonatal";9880
8459;302091;"Colesterol LDL directo";434240
4018;302092;"Creatinquinasa CK - MB masa";91980
3863;302093;"Panel de glicemia (incluye glucosa basal, glucosa 2 horas post desayuno y glucosa 2 horas post almue";30560
2640;302094;"CK isoenzimas";300780
5096;302095;"Tiopurina metiltransferasa, actividad enzimatica";455630
2138;302096;"Tirosina cuantitativa en GSS";278300
7901;302097;"Hormona tiroestimulante, neonatal";129000
3019;302098;"Perfil de aminoácidos y acilcarnitinas";281220
8074;302099;"Pesquisa neonatal ampliada en GSS (incluye perfil de aminoácidos y acilcarnitinas; succinilacetona; ";222120
3448;302102;"Leucina cualitativa en GSS";69440
3577;302103;"Zinc en sangre";11370
4224;302104;"Triptasa sérica";167000
7449;302121;"Test respiratorio de lactosa, lactulosa, fructuosa, c/u.";403500
3370;303001;"Adenocorticotrofina (ACTH)";8820
4506;303002;Aldosterona;45660
1559;303003;Androstenediona;34140
2999;303004;Angiotensina;48370
5932;303006;Cortisol;22760
2101;303007;"Crecimiento, hormona de (HGH) (somatotrofina)";30440
7104;303008;"Dehidroepiandrosterona sulfato (DHEA-S)";30440
1615;303009;Eritropoyetina;48690
6590;303012;Gastrina;22830
9635;303014;"Gonadotrofina coriónica, sub-unidad beta (cuantificación)";22600
4030;303015;"Hormona folículo estimulante (FSH)";16950
5229;303016;"Hormona luteinizante (LH)";45200
5934;303047;"IGF1 o Somatomedina - C (Insuline Like Growth Factor)";105440
5314;303048;"IGFBP3, IGFBP1 (Insulin Like Growth Factor Binding Proteins) c/u";92260
6309;303017;Insulina;39550
1552;303031;"Insulina, curva de (mínimo dos determinaciones)";152300
3444;303018;"Parathormona, hormona Paratiroídea o PTH.";77850
8188;303019;Progesterona;33900
6968;303020;"Prolactina (PRL)";56500
7162;303046;"SHBG (Sex-Hormone Binding Globulin)";131800
9187;303022;"Testosterona en sangre";45520
3883;303023;"Testosterona libre en sangre";48370
4469;303024;"Tiroestimulante (TSH), hormona (adulto, niño o R.N.)";9880
4804;303025;Tiroglobulina;30440
1653;303026;"Tiroxina libre (T4L)";45200
9489;303027;"Tiroxina o tetrayodotironina (T4)";44460
4807;303028;"Triyodotironina (T3)";44460
4935;303029;"17 - Hidroxiprogesterona";38050
8061;303049;"Catecolaminas en sangre (incluye medición de Adrenalina, Noradrenalina y Dopamina por separado por m";66700
8721;303052;"Peptido C";286200
3328;303053;Calcitonina;449700
8531;303054;"Inhibina B";311100
6824;303055;"NT-Pro BNP O BNP";533700
1938;303057;"Triyodotironina Libre (T3 libre)";165840
1363;303058;"Hormona antimulleriana";193900
9521;303033;Angiotensina;48370
2723;303035;"Cortisol libre urinario";62100
1570;303039;"Gonadotrofina coriónica, sub-unidad Beta; titulación por (Elisa; RIA o IRMA; Quimioluminiscencia u o";45520
9404;303050;"Metanefrinas urinarias (incluye determinación de Metanefrina y Normetanefrina por separado por métod";301840
1625;303051;"Catecolaminas urinarias (incluye medición de Adrenalina, Noradrenalina y Dopamina por separado por m";33350
7796;303056;"Cortisol salival";263560
8717;304001;"Cariotipo en sangre por cultivo de linfocitos (incluye mínimo 25 mitosis con bandeo G y eventualment";449100
7991;304002;"Cariotipo con técnicas especiales (incluye muestra de sangre o de médula ósea, tratamiento con FUDR,";160080
6202;304003;"Cariotipo en fibroblastos por cultivo de trofoblasto, líquido amniótico, piel u otros bandeos G y ev";426880
3074;304006;"FISH Cromosomas X e Y";496230
4561;304007;"Diagnóstico Genético Molecular: Displasia Tanatofórica tipo I y II";283220
8994;304008;"Amplificación por PCR más análisis de fragmentos fluorescentes por electroforesis capilar (hasta 5 f";2016090
7637;304009;"Estudio de deleciones y duplicaciones por amplificación múltiple de sondas dependiente de ligación (";1135300
8866;304010;"Estudio de deleciones y duplicaciones por amplificación múltiple de sondas dependiente de ligación (";402360
7932;304012;"Amplificación por PCR en tiempo real cuantitativo con sonda";414660
2155;304014;"Amplificación por PCR más análisis por restricción enzimática";561360
7415;304015;"FISH en frotis frescos de médula ósea, sangre, concentrado de células plasmáticas seleccionadas, bús";1050000
8051;304016;"Cariotipo molecular (Hibridación Genómica Comparativa en Micromatrices) 60K (incluye la extracción d";4933440
7409;305001;"Alfa -1- antitripsina cuantitativa";39830
1762;305002;"Alfa -2- macroglobulina";16560
5807;305003;"Alfa fetoproteínas";56500
1419;305004;"Tamizaje de Anticuerpos anti-antígenos nucleares extractables (a- ENA) (incluye Sm, RNP, Ro, La, Scl";11320
5183;305005;"Anticuerpos antinucleares (ANA), antimitocondriales, anti DNA (ADNA), anti músculo liso, anticentróm";54320
2869;305007;"Anticuerpos específicos y otros autoanticuerpos (anticuerpos antitiroídeos: anticuerpos antimicrosom";37560
6001;305008;"Antiestreptolisina O, por técnica de látex";19880
4672;305009;"Antígeno carcinoembrionario (CEA)";30480
4765;305070;"Antígeno prostático específico";100800
7826;305170;"Antígeno Ca 125, Ca 15-3 y Ca 19-9, c/u";70560
2450;305010;Beta-2-microglobulina;38100
3319;305012;"Complemento C1Q, C2, C3, C4, etc., c/u";4970
1266;305013;"Complemento hemolítico (CH 50)";56340
5399;305014;"Crioglobulinas, precipitación en frío (cualitativa) o cuantitativa c/u";8400
7134;305019;"Factor reumatoídeo por técnica de látex u otras similares";14450
6109;305020;"Factor reumatoídeo por técnica de Scat, Waaler Rose, nefelométricas y/o turbidimétricas";25700
6794;305021;"Inhibidor de C1Q, C2 y C3, c/u";9940
2314;305025;"Inmunofijación de inmunoglobulina, c/u";69200
8872;305026;"Inmunoglobulina IgA secretora";4880
3247;305027;"Inmunoglobulinas IgA, IgG, IgM, c/u";39760
7499;305028;"Inmunoglobulinas IgE, IgD total, c/u";5690
8881;305030;"Proteína C reactiva por técnica de látex u otras similares";9620
8924;305031;"Proteína C reactiva por técnicas automatizadas";6640
8815;305181;"Anticuerpos antitransglutaminasa (TTG)(Incluye IgG e IgA)";37020
4889;305081;"Anticuerpo antiendomisio (EMA, antimembrana basal glomerular (GBM), antireticulina, por IFI c/u.";69000
1858;305082;"Anticuerpos anticitoplasma de neutrófilos (ANCA), (incluye C-ANCA y P-ANCA), por IFI.";137120
8453;305083;"Determinación de isotipos de anticuerpos anticitoplasma de neutrófilos (G-M-A-C'3), por IFI, c/u.";36350
3035;305084;"Anticuerpos anticardiolipinas (IgG, IgM), c/u";52320
3618;305085;"Anticuerpos anti LKM-1";217900
9106;305086;"Anticuerpos contra péptidos deaminados de gliadina IgG e IgA";23000
5814;305098;"Cromogranina A";240150
8741;305099;"Péptido Cíclico Citrulinado, anticuerpos IgG";134560
8190;305100;"Proteina C ultrasensible";37650
9573;305101;"Anticuerpos anti-saccharomyces cerevisiae (ASCA) IGA e IGG, c/u";29730
5089;305104;"Antígeno prostático total y libre";212490
2422;305105;"Anticuerpos anti-Beta 2 glicoproteina 1 (IgG, IgM), c/u";169120
5393;305106;"Estudio inmunológico de diabetes (incluye determinación simultánea de anticuerpos anti-células de is";525360
5785;305107;"Anticuerpos anti-MPO (mieloperoxidasa)";129350
1850;305108;"Anticuerpos anti antígenos nucleares extractables (A-ENA): SM, RNP, SS-A/RO, SS-B/LA, SCL-70, JO-1).";143600
6663;305109;"Anticuerpos anti-PR3 (proteasa 3)";209940
8048;305124;"Receptor de tirotropina (TRAb), anticuerpos anti";332820
2682;305125;"CTX sérico";85180
6550;305126;"Subclases de IgG (1,2,3,4)";559620
2016;305035;"Detección, identificación y titulación de crioaglutininas";9960
5938;305036;Criohemolisinas;2490
3117;305037;"Digestión fagocítica nitroblue-tetrazolium cualitativo y cuantitativo";19110
4161;305038;"Fagocitosis: ingestión y digestión (killing) de levaduras por polimorfonucleares";130700
1936;305040;"Inmunoadherencia de leucocitos macrófagos";30780
1370;305041;"Intradermorreacción (PPD, histoplasmina, aspergilina, u otros, incluye el valor del antígeno y reacc";41040
7441;305042;"LIF o MIF";57330
1296;305044;"Linfocitos B (rosetas EAC) y linfocitos T (rosetas E) c/u";29100
3079;305047;"Linfotoxinas humanas, detección de";17540
2457;305089;"Linfocitos B totales (CD19). Técnica Citometría de Flujo";324730
3616;305091;"Linfocitos T (incluye CD3, CD4, CD8). Técnica Citometría de Flujo";136100
2402;305092;"Natural Killers (incluye CD16, CD 56). Técnica Citometría de Flujo";190540
7589;305080;"Estudio para hipersensibilidad retardada";87160
2273;305093;"Inmunofenotipo en Leucemias Agudas";1441960
7887;305094;"Inmunofenotipo en Síndrome Linfoproliferativos";1229040
5165;305095;"Inmunofenotipo en Síndrome Mielodisplásicos";2189950
5169;305096;"Detección de Enfermedad Residual Mínima";1390690
5150;305110;"Alocross Match Linfocitos T y Linfocitos B (Citometría De Flujo)";1517550
3462;305111;"Anticuerpo Anti HLA Clase I y II Screening (Luminex)";203370
7294;305112;"Autocrossmatch Linfocitos T y B (Citometría De Flujo )";2731590
5846;305113;"Especificidad De Anticuerpos HLA Con Antígenos Individuales Clase I (Luminex)";2061120
9055;305114;"Especificidad De Anticuerpos HLA Con Antígenos Individuales Clase II (Luminex)";1517550
4768;305115;"Estudio Receptor Trasplantado Con Donante Cadáver";3417750
3521;305116;"HLA-AB Tipificación (Biología Molecular)";339240
4995;305117;"HLA-ABDR Tipificación (Biología Molecular)";2124570
7564;305118;"HLA-B27 Tipificación (Biología Molecular)";479150
5372;305119;"HLA-C Tipificación (Biología Molecular)";557100
6465;305120;"HLA-DP Tipificación (Biología Molecular)";111420
1669;305121;"HLA-DQ Tipificación (Biología Molecular)";508860
2818;305122;"HLA-DR Tipificación (Biología Molecular)";445680
8157;305123;"Seroteca Mensual y Mantención en Lista De Espera";104240
1617;306001;"Baciloscopía por método de concentración";21600
5677;306004;"Examen directo al fresco, c/s tinción (incluye trichomonas)";11060
1966;306005;"Tinción de Gram";1420
8714;306006;Ultramicroscopía;37920
8635;306102;"Tinción de toluidina";401760
6874;306103;"Tinción de calcofluor";34680
8174;306104;"Tinción para campylobacter";43740
8521;306105;"Tinción tinta china";25380
2046;306007;"Coprocultivo, c/u";13530
