Código;Código adicional;CONSULTAS Y ATENCION MEDICA;Valor fonasa;Grupo;tipo
0101308;;Consulta Médica de Especialidad en Obstetricia y Ginecología;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101309;;Consulta Médica de Especialidad en Pediatría;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101310;;Consulta Médica de Especialidad en Traumatología y Ortopedia;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101311;;Consulta Médica de Especialidad en Urología;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101312;;Consulta Médica de Especialidad en Cirugía General;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101313;;Consulta Médica de Especialidad en Cirugía de Cabeza, Cuello y Maxilofacial;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101314;;Consulta Médica de Especialidad en Cirugía Cardiovascular;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101315;;Consulta Médica de Especialidad en Cirugía de Tórax;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101316;;Consulta Médica de Especialidad en Cirugía Plástica y Reparadora;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101317;;Consulta Médica de Especialidad en Cirugía Pediátrica;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101318;;Consulta Médica de Especialidad en Cirugía Vascular Periférica;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101319;;Consulta Médica de Especialidad en Coloproctología;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101320;;Consulta Médica de Especialidad en Diabetología;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101321;;Consulta Médica de Especialidad en Enfermedades Respiratorias Adulto;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101322;;Consulta Médica de Especialidad en Enfermedades Respiratorias Pediátricas;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101323;;Consulta Médica de Especialidad en Gastroenterología Adulto;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101324;;Consulta Médica de Especialidad en Gastroenterología Pediátrico;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101325;;Consulta Médica de Especialidad en Genética Clínica;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101326;;Consulta Médica de Especialidad en Nefrología Adulto;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101327;;Consulta Médica de Especialidad en Nefrología Pediátrico;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101328;;Consulta Médica de Especialidad en Neonatología;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101329;;Consulta Médica de Especialidad en Anestesiología;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101330;;Consulta Médica de Especialidad en Medicina de Urgencia;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101331;;Consulta Médica de Especialidad en Radioterapia Oncológica;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101332;;Consulta Médica de Especialidad en Ginecología Pediátrica y de la Adolescencia;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101333;;Consulta Médica de Especialidad en Medicina Materno Fetal;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101334;;Consulta Médica de Especialidad en Medicina Nuclear;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0102002;;Control de salud niño con EDP por enfermera;2.760;ATENCION ABIERTA;CONSULTAS POR OTROS PROFESIONALES DE LA SALUD
0102003;;Consulta o control por auxiliar de enfermería;900;ATENCION ABIERTA;CONSULTAS POR OTROS PROFESIONALES DE LA SALUD
0102005;;Consulta por fonoaudiólogo;2.200;ATENCION ABIERTA;CONSULTAS POR OTROS PROFESIONALES DE LA SALUD
0102008;;Consulta o control por enfermera;1.620;ATENCION ABIERTA;CONSULTAS POR OTROS PROFESIONALES DE LA SALUD
0102009;;Consulta o control por matrona;1.620;ATENCION ABIERTA;CONSULTAS POR OTROS PROFESIONALES DE LA SALUD
0102010;;Consulta o control por nutricionista;1.620;ATENCION ABIERTA;CONSULTAS POR OTROS PROFESIONALES DE LA SALUD
0102011;;Consulta quimico farmaceutico;1.620;ATENCION ABIERTA;CONSULTAS POR OTROS PROFESIONALES DE LA SALUD
0103001;;Educación de grupo por médico;5.310;ATENCION ABIERTA;EDUCACION DE GRUPO
0103003;;Educación de grupo por asistente social;2.920;ATENCION ABIERTA;EDUCACION DE GRUPO
0103004;;Educación de grupo por auxiliar de enfermería;900;ATENCION ABIERTA;EDUCACION DE GRUPO
0103005;;Educación de grupo por enfermera;2.920;ATENCION ABIERTA;EDUCACION DE GRUPO
0103006;;Educación de grupo por matrona ;2.920;ATENCION ABIERTA;EDUCACION DE GRUPO
0103007;;Educación de grupo por nutricionista;2.920;ATENCION ABIERTA;EDUCACION DE GRUPO
0104002;;Visita a domicilio por asistente social;2.530;ATENCION ABIERTA;VISITAS DOMICILIARIAS
0104003;;Visita a domicilio por auxiliar de enfermería;1.460;ATENCION ABIERTA;VISITAS DOMICILIARIAS
0104004;;Visita a domicilio por enfermera;2.530;ATENCION ABIERTA;VISITAS DOMICILIARIAS
0104005;;Visita a domicilio por matrona;2.530;ATENCION ABIERTA;VISITAS DOMICILIARIAS
0104006;;Visita a domicilio por nutricionista;2.530;ATENCION ABIERTA;VISITAS DOMICILIARIAS
0106002;;Curación simple ambulatoria;970;ATENCION ABIERTA;MISCELANEOS
0106007;;Oxigenoterapia Hiperbárica (1 sesión);30.030;ATENCION ABIERTA;MISCELANEOS
0106101;;Atención Integral de Acupuntura ;7.000;ATENCION ABIERTA;MISCELANEOS
0107001;;Consulta médica pericial por licencia médica;8.000;ATENCION ABIERTA;ACTIVIDAD COMPIN
0107002;;Evaluación médica por invalidez;8.000;ATENCION ABIERTA;ACTIVIDAD COMPIN
0107003;;Visita domiciliaria inspectiva por comisión;12.590;ATENCION ABIERTA;ACTIVIDAD COMPIN
0107004;;Evaluación médico-legal por comisión;8.890;ATENCION ABIERTA;ACTIVIDAD COMPIN
0107005;;Arbitrajes por apelación contra ISAPRE;8.890;ATENCION ABIERTA;ACTIVIDAD COMPIN
0108001;;Teleconsulta Medicina General;6.060;ATENCION ABIERTA;TELECONSULTA
0108201;;Teleconsulta Médica de Especialidad en Dermatología;8.630;ATENCION ABIERTA;TELECONSULTA
0108202;;Teleconsulta Médica de Especialidad en Geriatría;8.630;ATENCION ABIERTA;TELECONSULTA
0108206;;Teleconsulta Médica de Especialidad en Reumatología;8.630;ATENCION ABIERTA;TELECONSULTA
0108207;;Teleconsulta Médica de Especialidad en Endocrinología Adulto;8.630;ATENCION ABIERTA;TELECONSULTA
0108208;;Teleconsulta Médica de Especialidad en Endocrinología Pediátrica;8.630;ATENCION ABIERTA;TELECONSULTA
0108209;;Teleconsulta Médica de Especialidad en Neurología Adultos;8.630;ATENCION ABIERTA;TELECONSULTA
0108210;;Teleconsulta Médica de Especialidad en Neurología Pediátrica;8.630;ATENCION ABIERTA;TELECONSULTA
0108211;;Teleconsulta Médica de Especialidad en Oncología Médica;8.630;ATENCION ABIERTA;TELECONSULTA
0108212;;Teleconsulta Médica de Especialidad en Psiquiatría adultos;8.630;ATENCION ABIERTA;TELECONSULTA
0108213;;Teleconsulta Médica de Especialidad en Psiquiatría pediátrica y de la adolescencia;8.630;ATENCION ABIERTA;TELECONSULTA
0108301;;Teleconsulta Médica de Especialidad en Cardiología;8.630;ATENCION ABIERTA;TELECONSULTA
0108302;;Teleconsulta Médica de Especialidad en Hematología;8.630;ATENCION ABIERTA;TELECONSULTA
0108303;;Teleconsulta Médica de Especialidad en Infectología;8.630;ATENCION ABIERTA;TELECONSULTA
0108304;;Teleconsulta Médica de Especialidad en Inmunología;8.630;ATENCION ABIERTA;TELECONSULTA
0108305;;Teleconsulta Médica de Especialidad en Medicina Familiar;8.630;ATENCION ABIERTA;TELECONSULTA
0108306;;Teleconsulta Médica de Especialidad en Medicina Física y Rehabilitación;8.630;ATENCION ABIERTA;TELECONSULTA
0108307;;Teleconsulta Médica de Especialidad en Medicina Interna;8.630;ATENCION ABIERTA;TELECONSULTA
0108308;;Teleconsulta Médica de Especialidad en Obstetricia y Ginecología;8.630;ATENCION ABIERTA;TELECONSULTA
0108309;;Teleconsulta Médica de Especialidad en Pediatría;8.630;ATENCION ABIERTA;TELECONSULTA
0108310;;Teleconsulta Médica de Especialidad en Traumatología y Ortopedia;8.630;ATENCION ABIERTA;TELECONSULTA
0108311;;Teleconsulta Médica de Especialidad en Urología;8.630;ATENCION ABIERTA;TELECONSULTA
0108319;;Teleconsulta Médica de Especialidad en Coloproctología;8.630;ATENCION ABIERTA;TELECONSULTA
0108320;;Teleconsulta Médica de Especialidad en Diabetología;8.630;ATENCION ABIERTA;TELECONSULTA
0108321;;Teleconsulta Médica de Especialidad en Enfermedades Respiratorias Adulto;8.630;ATENCION ABIERTA;TELECONSULTA
0108322;;Teleconsulta Médica de Especialidad en Enfermedades Respiratorias Pediátricas;8.630;ATENCION ABIERTA;TELECONSULTA
0108323;;Teleconsulta Médica de Especialidad en Gastroenterología Adulto;8.630;ATENCION ABIERTA;TELECONSULTA
0108324;;Teleconsulta Médica de Especialidad en Gastroenterología Pediátrico;8.630;ATENCION ABIERTA;TELECONSULTA
0108325;;Teleconsulta Médica de Especialidad en Genética Clínica;8.630;ATENCION ABIERTA;TELECONSULTA
0108326;;Teleconsulta Médica de Especialidad en Nefrología Adulto;8.630;ATENCION ABIERTA;TELECONSULTA
0108327;;Teleconsulta Médica de Especialidad en Nefrología Pediátrico;8.630;ATENCION ABIERTA;TELECONSULTA
0108331;;Teleconsulta Médica de Especialidad en Radioterapia Oncológica;8.630;ATENCION ABIERTA;TELECONSULTA
0108203;;Teleconsulta Médica de Especialidad en Neurocirugía;8.630;ATENCION ABIERTA;TELECONSULTA
0108204;;Teleconsulta Médica de Especialidad en Oftalmología;8.630;ATENCION ABIERTA;TELECONSULTA
0108205;;Teleconsulta Médica de Especialidad en Otorrinolaringología;8.630;ATENCION ABIERTA;TELECONSULTA
0108312;;Teleconsulta Médica de Especialidad en Cirugía General;8.630;ATENCION ABIERTA;TELECONSULTA
0108313;;Teleconsulta Médica de Especialidad en Cirugía de Cabeza, Cuello y Maxilofacial;8.630;ATENCION ABIERTA;TELECONSULTA
0108314;;Teleconsulta Médica de Especialidad en Cirugía Cardiovascular;8.630;ATENCION ABIERTA;TELECONSULTA
0108315;;Teleconsulta Médica de Especialidad en Cirugía de Tórax;8.630;ATENCION ABIERTA;TELECONSULTA
0108316;;Teleconsulta Médica de Especialidad en Cirugía Plástica y Reparadora;8.630;ATENCION ABIERTA;TELECONSULTA
0108317;;Teleconsulta Médica de Especialidad en Cirugía Pediátrica;8.630;ATENCION ABIERTA;TELECONSULTA
0108318;;Teleconsulta Médica de Especialidad en Cirugía Vascular Periférica;8.630;ATENCION ABIERTA;TELECONSULTA
0108329;;Teleconsulta Médica de Especialidad en Anestesiología;8.630;ATENCION ABIERTA;TELECONSULTA
0108332;;Teleconsulta Médica de Especialidad en Ginecología Pediátrica y de la Adolescencia;8.630;ATENCION ABIERTA;TELECONSULTA
0108333;;Teleconsulta Médica de Especialidad en Medicina Materno Fetal;8.630;ATENCION ABIERTA;TELECONSULTA
0108334;;Teleconsulta Médica de Especialidad en Medicina Nuclear;8.630;ATENCION ABIERTA;TELECONSULTA
0108400;;Teleconsulta: Atención Integral de Nutricionista (incluye 3 sesiones);24.940;ATENCION ABIERTA;TELEMEDICINA PROFESIONALES NO MÉDICOS
0109001;;Teleinterconsulta médica;8.630;ATENCION ABIERTA;TELEINTERCONSULTA (TELEMEDICINA)
0109002;;Teleinterconsulta no médica;7.340;ATENCION ABIERTA;TELEINTERCONSULTA (TELEMEDICINA)
0201010;;Dia Cama de Hospitalización Integral Cuidados Básicos;46.280;ATENCION CERRADA;DIA CAMA
0201110;;Dia Cama de Hospitalización Integral Cuidados Medios;52.100;ATENCION CERRADA;DIA CAMA
0201301;;Día Cama de Hospitalización Integral Adulto en Unidad de Tratamiento Intermedio (U.T.I);96.890;ATENCION CERRADA;DIA CAMA
0201302;;Día Cama de Hospitalización Integral Pediátrica en Unidad de Tratamiento Intermedio (U.T.I);96.890;ATENCION CERRADA;DIA CAMA
0201303;;Día Cama de Hospitalización Integral Neonatal en Unidad de Tratamiento Intermedio (U.T.I);96.890;ATENCION CERRADA;DIA CAMA
0201201;;Día Cama de Hospitalización Integral Adulto en Unidad de Cuidado Intensivo (U.C.I.) ;200.590;ATENCION CERRADA;DIA CAMA
0201202;;Día Cama de Hospitalización Integral Pediátrica en Unidad de Cuidado Intensivo (U.C.I). ;200.590;ATENCION CERRADA;DIA CAMA
0201203;;Día Cama de Hospitalización Integral Neonatal en Unidad de Cuidado Intensivo (U.C.I.);200.590;ATENCION CERRADA;DIA CAMA
0201410;;Día Cama de Hospitalización Integral Obstetricia ;46.340;ATENCION CERRADA;DIA CAMA
0201403;;Día Cama de Hospitalización Integral Sala Cuna;9.350;ATENCION CERRADA;DIA CAMA
0201404;;Día Cama de Hospitalización Integral Incubadora;86.930;ATENCION CERRADA;DIA CAMA
0201405;;Día Cama de Hospitalización Integral Psiquiatría Cuidados Básicos;11.880;ATENCION CERRADA;DIA CAMA
0201406;;Día Cama de Hospitalización Integral Psiquiatría Cuidados Medios;34.390;ATENCION CERRADA;DIA CAMA
0201407;;Día Cama de Hospitalizacion Integral de Observación - Ambulatorio;9.750;ATENCION CERRADA;DIA CAMA
0201501;;Dia Cama Hospitalizacion Domiciliaria Cuidados Básicos;45.170;ATENCION CERRADA;DIA CAMA
0201502;;Dia Cama Hospitalizacion Domiciliaria Cuidados Medios ;69.120;ATENCION CERRADA;DIA CAMA
0201503;;Dia Cama Hospitalizacion Domiciliaria Cuidados Alta Complejidad ;115.130;ATENCION CERRADA;DIA CAMA
0301002;;Acido fólico o folatos;5.130;EXAMENES DE LABORATORIO;
0301003;;Adenograma, mielograma, c/u;6.370;EXAMENES DE LABORATORIO;
0301006;;Agregación plaquetaria con diferentes agonistas;4.560;EXAMENES DE LABORATORIO;
0301007;;Anticoagulantes circulantes o anticoagulante lúpico;4.560;EXAMENES DE LABORATORIO;
0301008;;Antitrombina III;4.560;EXAMENES DE LABORATORIO;
0301011;;Coagulación, tiempo de;1.580;EXAMENES DE LABORATORIO;
0301013;;Tiempo de lisis del coágulo;590;EXAMENES DE LABORATORIO;
0301014;;Prueba de antiglobulina directa;1.250;EXAMENES DE LABORATORIO;
0301017;;Deshidrogenasa glucosa-6-fosfato en eritrocitos;4.790;EXAMENES DE LABORATORIO;
0301020;;Tiempo de lisis de euglobulinas;1.580;EXAMENES DE LABORATORIO;
0301021;;Fibrinógeno;2.260;EXAMENES DE LABORATORIO;
0301022;;Test de neutralización plaquetaria;4.560;EXAMENES DE LABORATORIO;
0301024;;Factor V;2.260;EXAMENES DE LABORATORIO;
0301025;;Factores VII, VIII, IX, X, XI, XII, XIII, c/u;4.790;EXAMENES DE LABORATORIO;
0301026;;Ferritina;5.820;EXAMENES DE LABORATORIO;
0301027;;Fibrinógeno, productos de degradación del;4.790;EXAMENES DE LABORATORIO;
0301028;;Fierro sérico;2.260;EXAMENES DE LABORATORIO;
0301029;;Fierro, capacidad de fijación del (incluye fierro sérico);4.790;EXAMENES DE LABORATORIO;
0301030;;Fierro, cinética del (cada determinación);5.820;EXAMENES DE LABORATORIO;
0301034;;Clasificación sanguínea AB0 y RhD;2.580;EXAMENES DE LABORATORIO;
0301035;;Haptoglobina cuantitativa;4.310;EXAMENES DE LABORATORIO;
0301036;;Hematocrito (proc. aut.);710;EXAMENES DE LABORATORIO;
0301038;;Hemoglobina en sangre total (proc. aut.);710;EXAMENES DE LABORATORIO;
0301040;;Hemoglobina fetal cuantitativa en eritrocitos;4.790;EXAMENES DE LABORATORIO;
0301041;;Hemoglobina glicada A1c;4.970;EXAMENES DE LABORATORIO;
0301042;;Hemoglobina plasmática;970;EXAMENES DE LABORATORIO;
0301044;;Electroforesis de hemoglobina;5.130;EXAMENES DE LABORATORIO;
0301045;;Hemograma (incluye recuentos de leucocitos, eritrocitos, plaquetas, hemoglobina, hematocrito, fórmula leucocitaria, características de los elementos figurados y velocidad de eritrosedimentación)     ;3.280;EXAMENES DE LABORATORIO;
0301048;;Hemosiderina medular;970;EXAMENES DE LABORATORIO;
0301049;;Cuantificación de heparina;4.790;EXAMENES DE LABORATORIO;
0301051;;Identificación de anticuerpos irregulares eritrocitarios;4.790;EXAMENES DE LABORATORIO;
0301054;;Metahemoglobina;1.250;EXAMENES DE LABORATORIO;
0301059;;Tiempo de protrombina (incluye INR, Razón Internacional Normalizada);1.580;EXAMENES DE LABORATORIO;
0301062;;Recuento de basófilos (absoluto);970;EXAMENES DE LABORATORIO;
0301063;;Recuento de eosinófilos (absoluto);970;EXAMENES DE LABORATORIO;
0301064;;Recuento de eritrocitos, absoluto (proc. aut.);710;EXAMENES DE LABORATORIO;
0301065;;Recuento de leucocitos, absoluto (proc. aut.);710;EXAMENES DE LABORATORIO;
0301066;;Recuento de linfocitos (absoluto);1.250;EXAMENES DE LABORATORIO;
0301067;;Recuento de plaquetas (absoluto);1.250;EXAMENES DE LABORATORIO;
0301068;;Recuento de reticulocitos (absoluto o porcentual);970;EXAMENES DE LABORATORIO;
0301069;;Recuento diferencial o fórmula leucocitaria (proc. aut.);1.960;EXAMENES DE LABORATORIO;
0301070;;Resistencia globular osmótica;3.210;EXAMENES DE LABORATORIO;
0301072;;Tiempo de sangría (no incluye dispositivo asociado);1.580;EXAMENES DE LABORATORIO;
0301082;;Transferrina;5.660;EXAMENES DE LABORATORIO;
0301083;;Trombina, tiempo de;1.960;EXAMENES DE LABORATORIO;
0301085;;Tromboplastina, tiempo parcial de (TTPA, TTPK o similares);2.500;EXAMENES DE LABORATORIO;
0301086;;Velocidad de eritrosedimentación (proc. aut.);580;EXAMENES DE LABORATORIO;
0301089;;Factor Von Willebrand antigénico (FVW:Ag);9.180;EXAMENES DE LABORATORIO;
0301090;;Factor Von Willebrand antigénico Cofactor Ristocetina (FVW:CoRis);9.180;EXAMENES DE LABORATORIO;
0301091;;Proteína C funcional;31.500;EXAMENES DE LABORATORIO;
0301092;;Proteína S;34.310;EXAMENES DE LABORATORIO;
0301093;;Resistencia a la Proteína C activada ;22.510;EXAMENES DE LABORATORIO;
0301094;;Estudio de la hemoglobinuria paroxística nocturna (HPN) por citometría de flujo;48.590;EXAMENES DE LABORATORIO;
0301095;;Dímero-D;10.680;EXAMENES DE LABORATORIO;
0301096;;Procalcitonina;24.480;EXAMENES DE LABORATORIO;
0301097;;Inhibidor de factor de la coagulación;87.100;EXAMENES DE LABORATORIO;
0301098;;Secreción plaquetaria con diferentes agonistas;85.300;EXAMENES DE LABORATORIO;
0301099;;Tiempo de veneno de víbora de Russell diluído;52.020;EXAMENES DE LABORATORIO;
0301100;;Antitrombina III antigénica;34.790;EXAMENES DE LABORATORIO;
0301101;;Actividad anti-factor X activado;39.120;EXAMENES DE LABORATORIO;
0301102;;Tiempo de tromboplastina parcial activado (TTPA) con mezcla de plasma normal;11.590;EXAMENES DE LABORATORIO;
0301103;;Mioglobina;43.820;EXAMENES DE LABORATORIO;
0301104;;Tromboelastografia;67.100;EXAMENES DE LABORATORIO;
0301105;;Mutación JAK-2;117.870;EXAMENES DE LABORATORIO;
0301106;;Hematocrito automatizado (en contador hematológico);5.230;EXAMENES DE LABORATORIO;
0301107;;Recuento de reticulocitos (absoluto o porcentual) automatizado;6.070;EXAMENES DE LABORATORIO;
0301108;;Ensayo de unión a colágeno;46.800;EXAMENES DE LABORATORIO;
0301109;;Multimeros del factor Von Willebrand;135.000;EXAMENES DE LABORATORIO;
0301110;;Factor V Leiden;86.490;EXAMENES DE LABORATORIO;
0301111;;Mutación G20210A del gen de la protrombina;75.900;EXAMENES DE LABORATORIO;
0301112;;Anticuerpos antiplaquetarios;115.510;EXAMENES DE LABORATORIO;
0301113;;Folato Eritrocitario;21.590;EXAMENES DE LABORATORIO;
0301114;;Proteína C antigénica;89.520;EXAMENES DE LABORATORIO;
0301115;;Tipificación antigénica de las plaquetas;93.150;EXAMENES DE LABORATORIO;
0301116;;Hemoglobina Glicada, A1c, test rápido en el lugar de asistencia (incluye toma de muestra sangre capilar);4.970;EXAMENES DE LABORATORIO;
0302001;;Cuerpos cetónicos en sangre;890;EXAMENES DE LABORATORIO;
0302002;;Acido cítrico;2.490;EXAMENES DE LABORATORIO;
0302004;;Lactato en sangre;4.050;EXAMENES DE LABORATORIO;
0302005;;Acido úrico, en sangre;1.720;EXAMENES DE LABORATORIO;
0302008;;Amilasa, en sangre;2.530;EXAMENES DE LABORATORIO;
0302009;;Aminoácidos, cualitativo en sangre;6.000;EXAMENES DE LABORATORIO;
0302010;;Amonio;2.260;EXAMENES DE LABORATORIO;
0302070;;Apolipoproteínas (A1, B u otras) c/u;7.020;EXAMENES DE LABORATORIO;
0302011;;Bicarbonato (proc. aut.);710;EXAMENES DE LABORATORIO;
0302012;;Bilirrubina total (proc. aut.);1.430;EXAMENES DE LABORATORIO;
0302013;;Bilirrubina total y conjugada;1.580;EXAMENES DE LABORATORIO;
0302015;;Calcio en sangre;1.250;EXAMENES DE LABORATORIO;
0302017;;Caroteno;2.260;EXAMENES DE LABORATORIO;
0302018;;Caroteno, prueba de sobrecarga de ;5.130;EXAMENES DE LABORATORIO;
0302019;;Ceruloplasmina;3.490;EXAMENES DE LABORATORIO;
0302020;;Cobre en sangre;1.660;EXAMENES DE LABORATORIO;
0302067;;Colesterol total (proc. aut.);1.480;EXAMENES DE LABORATORIO;
0302068;;Colesterol HDL (proc. aut.);2.200;EXAMENES DE LABORATORIO;
0302021;;Colinesterasa en suero o plasma;3.200;EXAMENES DE LABORATORIO;
0302023;;Creatinina en sangre;1.450;EXAMENES DE LABORATORIO;
0302024;;Clearance de creatinina (proc.aut.);3.200;EXAMENES DE LABORATORIO;
0302025;;Creatinquinasa CK - MB  actividad;5.130;EXAMENES DE LABORATORIO;
0302026;;Creatinquinasa CK - total;3.910;EXAMENES DE LABORATORIO;
0302027;;Troponina;10.680;EXAMENES DE LABORATORIO;
0302030;;Deshidrogenasa láctica total (LDH);2.340;EXAMENES DE LABORATORIO;
0302031;;Deshidrogenasa láctica total (LDH), con separación de isoenzimas;6.370;EXAMENES DE LABORATORIO;
0302032;;Electrolitos plasmáticos (sodio, potasio, cloro) c/u;1.330;EXAMENES DE LABORATORIO;
0302033;;Enzima convertidora de angiotensina I;6.370;EXAMENES DE LABORATORIO;
0302034;;Perfil lipídico (incluye mediciones de colesterol total, HDL-colesterol y triglicéridos con estimaciones por fórmula de LDL-colesterol, VLDL-colesterol y colesterol no-HDL);6.770;EXAMENES DE LABORATORIO;
0302035;;"Fármacos y/o drogas; niveles plasmáticos de (alcohol, anorexígenos, antiarrítmicos, antibióticos, antidepresivos, antiepilépticos, antihistamínicos, antiinflamatorios y analgésicos, estimulantes respiratorios, tranquilizantes mayores y menores, etc.) c/u";6.090;EXAMENES DE LABORATORIO;
0302036;;Fenilalanina;2.260;EXAMENES DE LABORATORIO;
0302039;;Fosfatasas alcalinas con separación de isoenzimas hepáticas, intestinales, óseas c/u;6.190;EXAMENES DE LABORATORIO;
0302040;;Fosfatasas alcalinas totales;1.460;EXAMENES DE LABORATORIO;
0302042;;Fósforo (fosfatos) en sangre;1.880;EXAMENES DE LABORATORIO;
0302043;;Galactosa;710;EXAMENES DE LABORATORIO;
0302045;;Gamma glutamiltranspeptidasa (GGT);2.420;EXAMENES DE LABORATORIO;
0302046;;Gases y equilibrio ácido base en sangre (incluye: pH, O2, CO2, exceso de base y bicarbonato), todos o cada uno de los parámetros;4.030;EXAMENES DE LABORATORIO;
0302047;;Glucosa en sangre;1.450;EXAMENES DE LABORATORIO;
0302048;;Glucosa, Prueba de Tolerancia a la Glucosa Oral (PTGO), (dos determinaciones);6.500;EXAMENES DE LABORATORIO;
0302050;;Adenosindeaminasa en sangre u otro fluido biológico (ADA);4.790;EXAMENES DE LABORATORIO;
0302052;;Leucinaminopeptidasa (LAP);2.260;EXAMENES DE LABORATORIO;
0302053;;Lipasa en sangre;2.490;EXAMENES DE LABORATORIO;
0302055;;Litio en sangre;3.200;EXAMENES DE LABORATORIO;
