"Código genérico";"Nombre producto genérico";"Descripción producto genérico";"Tipo producto";"Código ONU";"Clasificación ONU";"Clasificación interna";"Estado Código genérico";"Canasta Esencial de Medicamentos";precio
100000010;"ACETAZOLAMIDA 250 MG CM/CM REC";"ACETAZOLAMIDA 250 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO O COMPRIMIDO RECUBIERTO.";Fármacos;51191515;Hidroclorotiazida;Diuréticos;activo;1;44292
100000011;"ACICLOVIR 200MG/5ML SUS OR FRA 100-125ML";"ACICLOVIR 200 MG/5 ML SUSPENSION ORAL FRASCO 100 A 125 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO";Fármacos;51102301;Aciclovir;Antivirales;inactivo;0;22187
100000012;"ACICLOVIR 200 MG CM/CP";"ACICLOVIR 200 MG COMPRIMIDO CAPSULA ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO";Fármacos;51102301;Aciclovir;Antivirales;inactivo;0;25519
100000013;"ACICLOVIR 400 MG CM/CM REC";"ACICLOVIR 400 MG COMPRIMIDO  O COMPRIMIDO RECUBIERTO ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO O COMPRIMIDO RECUBIERTO.";Fármacos;51102301;Aciclovir;Antivirales;activo;1;16095
100000014;"ACICLOVIR 800 MG CM/CM REC";"ACICLOVIR 800 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO. ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO.COTIZAR POR COMPRIMIDO O COMPRIMIDO RECUBIERTO..";Fármacos;51102301;Aciclovir;Antivirales;activo;1;21747
100000015;"ACICLOVIR 5% CREMA TU/PM 5 A 30 G";"ACICLOVIR  5% CREMA TUBO O POMO 5 A 30 G. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO";Fármacos;51102301;Aciclovir;Antivirales;inactivo;0;31276
100000016;"ACICLOVIR 250 MG P/SOL.INYECTABLE AM/FAM";"ACICLOVIR 250 MG POLVO O POLVO LIOFILIZADO PARA SOLUCION INYECTABLE O SOLUCION INYECTABLE PARA ADMINISTRACIÓN INTRAVENOSA FRASCO AMPOLLA O AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA O AMPOLL";Fármacos;51102301;Aciclovir;Antivirales;activo;1;28502
100000017;"A.A SALICILIC 500MG CM/CM REC/CP";"ACIDO ACETIL SALICILICO 500 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO O CAPSULA ENVASADO EN BLISTER.  ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O COMPRIMIDO RECUBIERTO O CAPSULA.";Fármacos;51142002;"Ácido acetilsalicíli";"Analgésico Antipirético";inactivo;0;15393
100000018;"ACIDO ASCORBICO 100 MG/1ML AMPOLLA";"ACIDO ASCORBICO 100 MG/1 ML AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.";Fármacos;51191905;"Suplementos vitamíni";"Vitaminas  minerales y oligoelementos";inactivo;0;10982
100000019;"ACIDO ASCORBICO 100 MG CM/CM MASTICABLE";"ACIDO ASCORBICO 100 MG COMPRIMIDO O COMPRIMIDO MASTICABLE ENVASADO EN BLISTER. DEBE CONTAR CON REGISTRO SANITARIO ISP. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO";Fármacos;51191905;"Suplementos vitamíni";"Vitaminas  minerales y oligoelementos";inactivo;0;5975
100000020;"ACIDO ASCORBICO 1G CMEFERV/MAST/CPBLANDA";"ACIDO ASCORBICO 1 G CAPSULAS BLANDAS O COMPRIMIDO EFERVESCENTE O COMPRIMIDO MASTICABLE ENVASADO EN BLISTER O EN TUBO. DEBE CONTAR CON REGISTRO SANITARIO ISP.ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.";Fármacos;51191905;"Suplementos vitamíni";"Vitaminas  minerales y oligoelementos";inactivo;0;3713
100000021;"ACIDO FOLICO 1 MG CM/CM REC";"ACIDO FOLICO 1 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO O COMPRIMIDO RECUBIERTO.";Fármacos;51131501;"Fumarato ferroso";"Medicamentos antianémicos";activo;1;55515
100000022;"ACIDO FOLICO 5MG CM/CM REC";"ACIDO FOLICO 5 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO O COMPRIMIDO RECUBIERTO.";Fármacos;51131501;"Fumarato ferroso";"Medicamentos antianémicos";activo;1;35656
100000023;"ACIDO FOLINICO (LEUCOVORINA) 15MG CM";"ACIDO FOLINICO (LEUCOVORINA) 15 MG (EQUIVALENTE A 16.2 MG DE CALCIOFOLINATO) COMPRIMIDOS ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLOQUEASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.";Fármacos;51111508;Dacarbazina;"Otros citostáticos y coadyuvantes";inactivo;0;51355
100000024;"ACIDO MEFENAMICO 500 MG CP/CM/CM REC.";"ACIDO MEFENAMICO 500 MG CAPSULA O COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA";Fármacos;51142012;"Ácido mefenámico";Analgésico;activo;0;46578
100000025;"ACIDO ORTOFOSFORICO 37% FRA 9 ML GEL";"ACIDO ORTOFOSFORICO 37% EN GEL (ACIDO GRABADOR DE ESMALTE/ETCHING GEL)FRASCO PLASTICO 9 ML O JERINGA PLASTICA 9 ML ENVASE RESISTENTE CON SELLOQUE ASEGURE INVIOLABILIDAD DEL CONTENIDO";Insumos;42152456;"Agentes cubrientes o";"Dispositivos y accesorios médicos";inactivo;0;36712
100000026;"TOFACITINIB 11 MG CM REC LIB PROL";"MATERIAL UNIDAD DE ESTUDIOS: TOFACITINIB 11 MG COMPRIMIDO RECUBIERTO DELIBERACION PROLONGADA. ENVASADO EN BLISTER O FRASCO HASTA 60COMPRIMIDOS. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDADDEL CONTENIDO. COTIZAR POR COMPRIMIDO RECUBIERTO DE LIBE";Fármacos;;;"Medicamentos y Productos Farmacéuticos";inactivo;0;31140
100000027;"ACIDO PIPEMIDICO CP 400 MG";"ACIDO PIPEMIDICO CP 400 MG ENVASADA EN BLISTER ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO";Fármacos;51102205;"Ácido nalidixico";Antibióticos;inactivo;0;41068
100000028;"ACIDO TRANEXAMICO 500 MG CP/CM REC";"ACIDO TRANEXAMICO 500 MG CAPSULA O COMPRIMIDO RECUBIERTO ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR CAPSULA O COMPRIMIDO RECUBIERTO.";Fármacos;51131805;Etamsilato;"Hemostáticos sistémicos y coagulantes";activo;1;4538
100000029;"ACIDO TRANSRETINOICO 10 MG CP";"ACIDO TRANSRETINOICO 10 MG (TRETINOINA) CAPSULA BLANDA  ENVASADA ENFRASCO HASTA 100 CAPSULAS O BLISTER. ENVASE RESISTENTE CON SELLO QUEASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAPSULA.";Fármacos;51241220;Tretinoína;"Otros citostáticos y coadyuvantes";activo;0;46263
100000030;"ACIDO URSODEOXICOLICO 250MG CP/CM/CM REC";"ACIDO URSODEOXICOLICO 250 MG CAPSULA  COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURELA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAPSULA  COMPRIMIDO OCOMPRIMIDO RECUBIERTO.";Fármacos;51172003;Ursodiol;Hepatoprotectores;activo;1;34872
100000031;"ACIDO VALPROICO 250 MG/5ML FRASCO 120ML";"ACIDO VALPROICO 250 MG/5 ML JARABE FRASCO 100 A 120 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.";Fármacos;51141531;"Ácido valproico";"Anticonvulsivantes  antiepilépticos";activo;1;48012
100000032;"ACIDO VALPROICO 375 MG/ML FRA 25 ML ORAL";"ACIDO VALPROICO GOTAS PEDIATRICAS 375 MG/ML FRASCO 25 ML ENVASE INDIVIDUAL CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO";Fármacos;51141531;"Ácido valproico";"Anticonvulsivantes  antiepilépticos";inactivo;0;28623
100000033;"ACIDO VALPROICO 250 MG CM REC ENT";"ACIDO VALPROICO 250 MG COMPRIMIDO CON RECUBRIMIENTO ENTERICO ENVASADO ENBLISTER O FRASCO HASTA 60 COMPRIMIDOS. ENVASE RESISTENTE CON SELLOQUEASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO CONRECUBRIMIENTO ENTERICO.";Fármacos;51141531;"Ácido valproico";"Anticonvulsivantes  antiepilépticos";activo;1;27310
100000034;"ACIDO VALPROICO 200 MG CP/CM REC ENT";"ACIDO VALPROICO 200 MG COMPRIMIDO CON RECUBRIMIENTO ENTERICO O CAPSULA CON RECUBRIMIENTO ENTERICO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA.";Fármacos;51141531;"Ácido valproico";"Anticonvulsivantes  antiepilépticos";activo;1;33684
100000035;"ACIDO VALPROICO 500 MG CM/CP REC ENT";"ÁCIDO VALPROICO 500 MG COMPRIMIDO CON RECUBRIMIENTO ENTÉRICO O CÁPSULASBLANDAS CON RECUBRIMIENTO ENTÉRICO  ENVASADO EN FRASCO HASTA 60 CM/CP OBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO CON RECUBR";Fármacos;51141531;"Ácido valproico";"Anticonvulsivantes  antiepilépticos";activo;1;32609
100000036;"ACIDO ZOLEDRONICO 4 MG/5ML AM/BO SOL INY";"ACIDO ZOLEDRONICO 4 MG LIOFILIZADO O 4 MG/5 ML SOLUCION INYECTABLE PARAADMINISTRACION INTRAVENOSA AMPOLLA O FRASCO AMPOLLA O BOLSA INFUSION. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA O BOL";Fármacos;51182415;"Ácido zoledrónico";"Sales de calcio y reguladores del calcio";activo;1;50968
100000037;"IXEKIZUMAB 80MG/ML SOL.INY JER PRE 1ML";"MATERIAL UNIDAD DE ESTUDIOS: IXEKIZUMAB 80MG/ML SOLUCION INYECTABLEENVASADA EN DISPOSITIVO O JERINGA PRELLENADA 1ML  PARA ADMINISTRACIÓNSUBCUTANEA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDADDEL CONTENIDO. COTIZAR POR DISPOSITIVO O JERINGA PR";Fármacos;;;"Medicamentos y Productos Farmacéuticos";inactivo;0;44918
100000038;"ADENOSINA 6MG/2ML SOL.INY AM/FAM/JRP";"ADENOSINA 6 MG/2ML SOLUCION INYECTABLE INTRAVENOSA AMPOLLA O FRASCO AMPOLLA O JERINGA PRELLENADA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDADDEL CONTENIDO. COTIZAR POR AMPOLLA O FRASCO AMPOLLA O JERINGA PRELLENADA.";Fármacos;51121501;Adenosina;Antiarrítmicos;activo;1;9615
100000039;"AEROCAMARA ADULTO P/INHALADOR AEROSOL";"AEROCAMARA ADULTO VALVULADA UNIDIRECCIONAL PARA USO INHALACIONAEROSOLES  TRANSPARENTE  FORMADA POR UNA CAMARA CONICA O CILINDRICA DEMATERIAL ANTIESTATICO Y LAVABLE. ESPACIADOR CON VOLUMEN ENTRE 500 A 800ML DE 22 A 27 CMS DE LARGO. EXTREMO DE ADAPTACION UNI";Insumos;42271802;"Nebulizadores o acce";"Dispositivos y accesorios médicos";inactivo;0;4589
100000040;"AEROCAMARA PEDIATRIC P/INHALADOR AEROSOL";"AEROCAMARA PEDIATRICA (NIÑOS MAYORES 18 MESES A 9 AÑOS 11 MESES)PROVISTA DE VALVULA UNIDIRECCIONAL PARA USO INHALACION AEROSOLES TRANSPARENTE  FORMADA POR UNA CAMARA CONICA O CILINDRICA DE MATERIALANTIESTATICO Y LAVABLE. ESPACIADOR CON VOLUMEN ENTRE 350 A ";Insumos;42271802;"Nebulizadores o acce";"Dispositivos y accesorios médicos";inactivo;0;3837
100000041;"BARICITINIB 2 MG CM REC";"BARICITINIB 2 MG COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASERESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR COMPRIMIDO RECUBIERTO.";Fármacos;51142145;Adalimumab;"Antiartrósico  antirreumático";activo;0;24310
100000042;"AGENTE ENLACE FOTOCURADO FRA 5-6  ML";"AGENTE ENLACE ESMALTE-DENTINA DE FOTOCURADO FRA 5 A 6 ML PLASTICO OPACOCON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO";Insumos;42152456;"Agentes cubrientes o";"Dispositivos y accesorios médicos";inactivo;0;44805
100000043;"AGUA ESTERIL P/INY 1000 ML SEMIRIGIDO";"AGUA ESTERIL PARA INYECTABLES 1000 ML ENVASE SEMIRIGIDO. ENVASERESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR ENVASE.";Sueros;51191602;"Electrolitos de clor";"Agua y electrolitos";inactivo;0;48525
100000044;"AGUA ESTERIL P/INYECT. 500 ML SEMIRIGIDO";"AGUA ESTERIL PARA INYECTABLES 500 ML ENVASE SEMIRIGIDO. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR ENVASE.";Sueros;51191602;"Electrolitos de clor";"Agua y electrolitos";activo;1;43660
100000045;"AGUA ESTERIL P/INYECTABLES 5 ML AM";"AGUA ESTERIL PARA INYECTABLES AMPOLLA  VIDRIO O PLASTICO SEMIRIGIDO CONSISTEMA ABRE FACIL   ENVASE 5 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA.";Fármacos;51191602;"Electrolitos de clor";"Agua y electrolitos";activo;1;59536
100000046;"AGUA ESTERIL P/INYECTABLES 10 ML AM";"AGUA ESTERIL PARA INYECTABLES  AMPOLLA VIDRIO O PLASTICO SEMIRIGIDO CONSISTEMA ABRE FACIL   ENVASE 10 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA.";Fármacos;51191602;"Electrolitos de clor";"Agua y electrolitos";activo;1;34340
100000047;"AGUA ESTERIL P/INYEC  AM VIDRIO 10 ML";"AGUA ESTERIL PARA INYECTABLES AM  VIDRIO 10 ML ENVASE RESISTENTE CONSELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO";Fármacos;51191602;"Electrolitos de clor";"Agua y electrolitos";inactivo;0;40852
100000048;"AGUA ESTERIL P/INYECT  AM VIDRIO 5 ML";"AGUA ESTERIL PARA INYECTABLES AM VIDRIO 5 ML ENVASE RESISTENTE CON SELLOQUE ASEGURE INVIOLABILIDAD DEL CONTENIDO";Fármacos;51191602;"Electrolitos de clor";"Agua y electrolitos";inactivo;0;48845
100000049;"AGUA LIBRE DE NUCLEASAS P/ BIOL. MOLEC.";"AGUA LIBRE DE NUCLEASAS P/TECNICAS EXPERIMENTALES EN BIOLOGIA MOLECULARFRA 50 ML ENVASE INDIVIDUAL RESISTENTE CON SELLO QUE ASEGUREINVIOLABILIDAD DEL CONTENIDO";Insumos;41116134;"Reactivos  solucione";"Reactivos y solventes";inactivo;0;30977
100000050;"AGUA OXIGENADA FARMAC. 10 VOL. FRA 1 L";"AGUA OXIGENADA 10 VOLUMENES FARMACOPEA FRASCO 1 LITRO CON TAPADOSIFICADORA ENVASE INDIVIDUAL RESISTENTE CON SELLO QUE ASEGUREINVIOLABILIDAD DEL CONTENIDO";Fármacos;51102709;"Antisépticos de peró";Antibióticos;inactivo;0;27626
100000051;"AGUA OXIGENADA SOLTOPICA10 VOL FRA 250ML";"AGUA OXIGENADA 10 VOLUMENES SOLUCION TOPICA FARMACOPEA FRASCO 250 ML CON TAPA DOSIFICADORA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.";Fármacos;51102709;"Antisépticos de peró";Antibióticos;inactivo;0;38453
100000052;"AGUJA 18 G X 1 50 PULGADA DESECHABLE";"AGUJA HIPODERMICA DESECHABLE 18 G X 1 5PULGADA CONO LUER ENVASE INDIVIDUAL ESTERIL.";Insumos;42142523;"Agujas hipodérmicas";"Agujas inyección  aspirac. y accesorios";inactivo;0;44897
100000053;"AGUJA 19 G X 1 PULGADA DESECHABLE";"AGUJA HIPODERMICA DESECHABLE 19 G X 1PULGADA CONO LUER. ENVASE INDIVIDUALESTERIL RESISTENTE CON APERTURA DE PESTAÑA CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.";Insumos;42142523;"Agujas hipodérmicas";"Agujas inyección  aspirac. y accesorios";inactivo;0;48559
100000054;"AGUJA 19 G X 1 50 DESECHABLE";"AGUJA HIPODERMICA DESECHABLE 19 G X 1 5 CONO LUER  ENVASE INDIVIDUALESTERIL";Insumos;42142523;"Agujas hipodérmicas";"Agujas inyección  aspirac. y accesorios";inactivo;0;39585
100000055;"AGUJA 21 G X 1 00 DESECHABLE";"AGUJA HIPODERMICA DESECHABLE 21 G X 1 00 CONO LUER  ENVASE INDIVIDUALESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR UNIDAD.";Insumos;42142523;"Agujas hipodérmicas";"Agujas inyección  aspirac. y accesorios";activo;0;39462
100000056;"AGUJA 21 G X 1 5 DESECHABLE";"AGUJA HIPODERMICA DESECHABLE 21 G X 1 5  PULGADA CONO LUER. ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. ESTERIL  DESECHABLE  LIBRE DE LATEX. ROTULO DEBE SEÑALAR ESTERIL  DESECHABLE. CARACTERISTICA LIBRE DE LA";Insumos;42142523;"Agujas hipodérmicas";"Agujas inyección  aspirac. y accesorios";activo;0;21134
100000057;"AGUJA HIPODERMICA DESECH 23G O 25G X1PUL";"AGUJA HIPODERMICA DESECHABLE 23 G X 1 PULGADA O 25 G X 1 PULGADA CONOLUER. ESTERIL  DESECHABLE  LIBRE DE LATEX. ENVASE INDIVIDUAL ESTERILRESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO Y CONAPERTURA DE PESTAÑA. ROTULO DEBE SEÑALAR ESTERIL ";Insumos;42142523;"Agujas hipodérmicas";"Agujas inyección  aspirac. y accesorios";activo;0;17736
100000058;"AGUJA 25G 5/8 PULGADAS DESECHABLE";"AGUJA HIPODERMICA DESECHABLE 25 G X 5/8 PULGADAS  CONO LUER  ESTERIL DESECHABLE  LIBRE DE LATEX. ROTULO DEBE SEÑALAR ESTERIL  DESECHABLE.CARACTERISTICA LIBRE DE LATEX RESPALDADO EN ROTULO DE ORIGEN O ENDOCUMENTO EMITIDO POR EL FABRICANTE. ENVASE INDIVIDUAL";Insumos;42142523;"Agujas hipodérmicas";"Agujas inyección  aspirac. y accesorios";inactivo;0;16075
100000059;"AGUJA 27 G X 0 37A0 5 PULGADA DESECHABLE";"AGUJA HIPODERMICA DESECHABLE 27 G X 0 375 PULGADA A 0 5 PULGADA CONO LUER ENVASE INDIVIDUAL ESTERIL.";Insumos;42142523;"Agujas hipodérmicas";"Agujas inyección  aspirac. y accesorios";inactivo;0;9345
100000060;"AGUJA DE VERESS DESECHABLE 120 MM LARGO";"AGUJA INSUFLACION VERESS DESECHABLE 120 MM LARGO  CON INDICADOR DE PENETRACION DE TEJIDO. DEBE CONTENER LLAVE DE PASO DE FLUJO CON CONECTOR LUER-LOCK  LIBRE DE LATEX. ROTULO DEBE SEÑALAR ESTERIL  DESECHABLE. CARACTERISTICA LIBRE DE LATEX RESPALDADO EN ROTU";Insumos;42291620;"Trocares quirúrgicos";"Dispositivos y accesorios médicos";activo;0;6689
100000061;"AGUJA KIRSCHNER 1.0 MM X 28-31 CM";"AGUJA KIRSCHNER 1.0 MM DIAMETRO 28-31 CM LARGO PUNTA TROCAR EXTREMOPROXIMAL REDONDO ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDADDEL CONTENIDO";Insumos;42291704;"Brocas o portabrocas";"Dispositivos y accesorios médicos";inactivo;0;17681
100000062;"AGUJA KIRSCHNER 1.5 MM X 28-31 CM";"AGUJA KIRSCHNER 1.5 MM DIAMETRO 28-31 CM LARGO PUNTA TROCAR EXTREMOPROXIMAL REDONDO ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDADDEL CONTENIDO";Insumos;42291704;"Brocas o portabrocas";"Dispositivos y accesorios médicos";inactivo;0;23609
100000063;"AGUJA KIRSCHNER 2.0 MM X 28-31 CM";"AGUJA KIRSCHNER 2.0 MM DIAMETRO 28 -31   CM LARGO PUNTA TROCAR EXTREMOPROXIMAL REDONDO  ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDADDEL CONTENIDO";Insumos;42291704;"Brocas o portabrocas";"Dispositivos y accesorios médicos";inactivo;0;23378
