Código;"Código adicional";"CONSULTAS Y ATENCION MEDICA";"Valor fonasa";Grupo;tipo
101309;;"Consulta Médica de Especialidad en Pediatría";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101310;;"Consulta Médica de Especialidad en Traumatología y Ortopedia";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101311;;"Consulta Médica de Especialidad en Urología";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101312;;"Consulta Médica de Especialidad en Cirugía General";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101313;;"Consulta Médica de Especialidad en Cirugía de Cabeza, Cuello y Maxilofacial";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101314;;"Consulta Médica de Especialidad en Cirugía Cardiovascular";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101315;;"Consulta Médica de Especialidad en Cirugía de Tórax";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101316;;"Consulta Médica de Especialidad en Cirugía Plástica y Reparadora";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101317;;"Consulta Médica de Especialidad en Cirugía Pediátrica";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101318;;"Consulta Médica de Especialidad en Cirugía Vascular Periférica";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101319;;"Consulta Médica de Especialidad en Coloproctología";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101320;;"Consulta Médica de Especialidad en Diabetología";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101321;;"Consulta Médica de Especialidad en Enfermedades Respiratorias Adulto";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101322;;"Consulta Médica de Especialidad en Enfermedades Respiratorias Pediátricas";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101323;;"Consulta Médica de Especialidad en Gastroenterología Adulto";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101324;;"Consulta Médica de Especialidad en Gastroenterología Pediátrico";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101325;;"Consulta Médica de Especialidad en Genética Clínica";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101326;;"Consulta Médica de Especialidad en Nefrología Adulto";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101327;;"Consulta Médica de Especialidad en Nefrología Pediátrico";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101328;;"Consulta Médica de Especialidad en Neonatología";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101329;;"Consulta Médica de Especialidad en Anestesiología";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101330;;"Consulta Médica de Especialidad en Medicina de Urgencia";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101331;;"Consulta Médica de Especialidad en Radioterapia Oncológica";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101332;;"Consulta Médica de Especialidad en Ginecología Pediátrica y de la Adolescencia";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101333;;"Consulta Médica de Especialidad en Medicina Materno Fetal";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101334;;"Consulta Médica de Especialidad en Medicina Nuclear";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
102002;;"Control de salud niño con EDP por enfermera";2760;"ATENCION ABIERTA";"CONSULTAS POR OTROS PROFESIONA"
102003;;"Consulta o control por auxiliar de enfermería";900;"ATENCION ABIERTA";"CONSULTAS POR OTROS PROFESIONA"
102005;;"Consulta por fonoaudiólogo";2200;"ATENCION ABIERTA";"CONSULTAS POR OTROS PROFESIONA"
102008;;"Consulta o control por enfermera";1620;"ATENCION ABIERTA";"CONSULTAS POR OTROS PROFESIONA"
102009;;"Consulta o control por matrona";1620;"ATENCION ABIERTA";"CONSULTAS POR OTROS PROFESIONA"
102010;;"Consulta o control por nutricionista";1620;"ATENCION ABIERTA";"CONSULTAS POR OTROS PROFESIONA"
102011;;"Consulta quimico farmaceutico";1620;"ATENCION ABIERTA";"CONSULTAS POR OTROS PROFESIONA"
103001;;"Educación de grupo por médico";5310;"ATENCION ABIERTA";"EDUCACION DE GRUPO"
103003;;"Educación de grupo por asistente social";2920;"ATENCION ABIERTA";"EDUCACION DE GRUPO"
103004;;"Educación de grupo por auxiliar de enfermería";900;"ATENCION ABIERTA";"EDUCACION DE GRUPO"
103005;;"Educación de grupo por enfermera";2920;"ATENCION ABIERTA";"EDUCACION DE GRUPO"
103006;;"Educación de grupo por matrona";2920;"ATENCION ABIERTA";"EDUCACION DE GRUPO"
103007;;"Educación de grupo por nutricionista";2920;"ATENCION ABIERTA";"EDUCACION DE GRUPO"
104002;;"Visita a domicilio por asistente social";2530;"ATENCION ABIERTA";"VISITAS DOMICILIARIAS"
104003;;"Visita a domicilio por auxiliar de enfermería";1460;"ATENCION ABIERTA";"VISITAS DOMICILIARIAS"
104004;;"Visita a domicilio por enfermera";2530;"ATENCION ABIERTA";"VISITAS DOMICILIARIAS"
104005;;"Visita a domicilio por matrona";2530;"ATENCION ABIERTA";"VISITAS DOMICILIARIAS"
104006;;"Visita a domicilio por nutricionista";2530;"ATENCION ABIERTA";"VISITAS DOMICILIARIAS"
106002;;"Curación simple ambulatoria";970;"ATENCION ABIERTA";MISCELANEOS
106007;;"Oxigenoterapia Hiperbárica (1 sesión)";30030;"ATENCION ABIERTA";MISCELANEOS
106101;;"Atención Integral de Acupuntura";7000;"ATENCION ABIERTA";MISCELANEOS
107001;;"Consulta médica pericial por licencia médica";8000;"ATENCION ABIERTA";"ACTIVIDAD COMPIN"
107002;;"Evaluación médica por invalidez";8000;"ATENCION ABIERTA";"ACTIVIDAD COMPIN"
107003;;"Visita domiciliaria inspectiva por comisión";12590;"ATENCION ABIERTA";"ACTIVIDAD COMPIN"
107004;;"Evaluación médico-legal por comisión";8890;"ATENCION ABIERTA";"ACTIVIDAD COMPIN"
107005;;"Arbitrajes por apelación contra ISAPRE";8890;"ATENCION ABIERTA";"ACTIVIDAD COMPIN"
108001;;"Teleconsulta Medicina General";6060;"ATENCION ABIERTA";TELECONSULTA
108201;;"Teleconsulta Médica de Especialidad en Dermatología";8630;"ATENCION ABIERTA";TELECONSULTA
108202;;"Teleconsulta Médica de Especialidad en Geriatría";8630;"ATENCION ABIERTA";TELECONSULTA
108206;;"Teleconsulta Médica de Especialidad en Reumatología";8630;"ATENCION ABIERTA";TELECONSULTA
108207;;"Teleconsulta Médica de Especialidad en Endocrinología Adulto";8630;"ATENCION ABIERTA";TELECONSULTA
108208;;"Teleconsulta Médica de Especialidad en Endocrinología Pediátrica";8630;"ATENCION ABIERTA";TELECONSULTA
108209;;"Teleconsulta Médica de Especialidad en Neurología Adultos";8630;"ATENCION ABIERTA";TELECONSULTA
108210;;"Teleconsulta Médica de Especialidad en Neurología Pediátrica";8630;"ATENCION ABIERTA";TELECONSULTA
108211;;"Teleconsulta Médica de Especialidad en Oncología Médica";8630;"ATENCION ABIERTA";TELECONSULTA
108212;;"Teleconsulta Médica de Especialidad en Psiquiatría adultos";8630;"ATENCION ABIERTA";TELECONSULTA
108213;;"Teleconsulta Médica de Especialidad en Psiquiatría pediátrica y de la adolescencia";8630;"ATENCION ABIERTA";TELECONSULTA
108301;;"Teleconsulta Médica de Especialidad en Cardiología";8630;"ATENCION ABIERTA";TELECONSULTA
108302;;"Teleconsulta Médica de Especialidad en Hematología";8630;"ATENCION ABIERTA";TELECONSULTA
108303;;"Teleconsulta Médica de Especialidad en Infectología";8630;"ATENCION ABIERTA";TELECONSULTA
108304;;"Teleconsulta Médica de Especialidad en Inmunología";8630;"ATENCION ABIERTA";TELECONSULTA
108305;;"Teleconsulta Médica de Especialidad en Medicina Familiar";8630;"ATENCION ABIERTA";TELECONSULTA
108306;;"Teleconsulta Médica de Especialidad en Medicina Física y Rehabilitación";8630;"ATENCION ABIERTA";TELECONSULTA
108307;;"Teleconsulta Médica de Especialidad en Medicina Interna";8630;"ATENCION ABIERTA";TELECONSULTA
108308;;"Teleconsulta Médica de Especialidad en Obstetricia y Ginecología";8630;"ATENCION ABIERTA";TELECONSULTA
108309;;"Teleconsulta Médica de Especialidad en Pediatría";8630;"ATENCION ABIERTA";TELECONSULTA
108310;;"Teleconsulta Médica de Especialidad en Traumatología y Ortopedia";8630;"ATENCION ABIERTA";TELECONSULTA
108311;;"Teleconsulta Médica de Especialidad en Urología";8630;"ATENCION ABIERTA";TELECONSULTA
108319;;"Teleconsulta Médica de Especialidad en Coloproctología";8630;"ATENCION ABIERTA";TELECONSULTA
108320;;"Teleconsulta Médica de Especialidad en Diabetología";8630;"ATENCION ABIERTA";TELECONSULTA
108321;;"Teleconsulta Médica de Especialidad en Enfermedades Respiratorias Adulto";8630;"ATENCION ABIERTA";TELECONSULTA
108322;;"Teleconsulta Médica de Especialidad en Enfermedades Respiratorias Pediátricas";8630;"ATENCION ABIERTA";TELECONSULTA
108323;;"Teleconsulta Médica de Especialidad en Gastroenterología Adulto";8630;"ATENCION ABIERTA";TELECONSULTA
108324;;"Teleconsulta Médica de Especialidad en Gastroenterología Pediátrico";8630;"ATENCION ABIERTA";TELECONSULTA
108325;;"Teleconsulta Médica de Especialidad en Genética Clínica";8630;"ATENCION ABIERTA";TELECONSULTA
108326;;"Teleconsulta Médica de Especialidad en Nefrología Adulto";8630;"ATENCION ABIERTA";TELECONSULTA
108327;;"Teleconsulta Médica de Especialidad en Nefrología Pediátrico";8630;"ATENCION ABIERTA";TELECONSULTA
108331;;"Teleconsulta Médica de Especialidad en Radioterapia Oncológica";8630;"ATENCION ABIERTA";TELECONSULTA
108203;;"Teleconsulta Médica de Especialidad en Neurocirugía";8630;"ATENCION ABIERTA";TELECONSULTA
108204;;"Teleconsulta Médica de Especialidad en Oftalmología";8630;"ATENCION ABIERTA";TELECONSULTA
108205;;"Teleconsulta Médica de Especialidad en Otorrinolaringología";8630;"ATENCION ABIERTA";TELECONSULTA
108312;;"Teleconsulta Médica de Especialidad en Cirugía General";8630;"ATENCION ABIERTA";TELECONSULTA
108313;;"Teleconsulta Médica de Especialidad en Cirugía de Cabeza, Cuello y Maxilofacial";8630;"ATENCION ABIERTA";TELECONSULTA
108314;;"Teleconsulta Médica de Especialidad en Cirugía Cardiovascular";8630;"ATENCION ABIERTA";TELECONSULTA
108315;;"Teleconsulta Médica de Especialidad en Cirugía de Tórax";8630;"ATENCION ABIERTA";TELECONSULTA
108316;;"Teleconsulta Médica de Especialidad en Cirugía Plástica y Reparadora";8630;"ATENCION ABIERTA";TELECONSULTA
108317;;"Teleconsulta Médica de Especialidad en Cirugía Pediátrica";8630;"ATENCION ABIERTA";TELECONSULTA
108318;;"Teleconsulta Médica de Especialidad en Cirugía Vascular Periférica";8630;"ATENCION ABIERTA";TELECONSULTA
108329;;"Teleconsulta Médica de Especialidad en Anestesiología";8630;"ATENCION ABIERTA";TELECONSULTA
108332;;"Teleconsulta Médica de Especialidad en Ginecología Pediátrica y de la Adolescencia";8630;"ATENCION ABIERTA";TELECONSULTA
108333;;"Teleconsulta Médica de Especialidad en Medicina Materno Fetal";8630;"ATENCION ABIERTA";TELECONSULTA
108334;;"Teleconsulta Médica de Especialidad en Medicina Nuclear";8630;"ATENCION ABIERTA";TELECONSULTA
108400;;"Teleconsulta: Atención Integral de Nutricionista (incluye 3 sesiones)";24940;"ATENCION ABIERTA";"TELEMEDICINA PROFESIONALES NO "
109001;;"Teleinterconsulta médica";8630;"ATENCION ABIERTA";"TELEINTERCONSULTA (TELEMEDICIN"
109002;;"Teleinterconsulta no médica";7340;"ATENCION ABIERTA";"TELEINTERCONSULTA (TELEMEDICIN"
201010;;"Dia Cama de Hospitalización Integral Cuidados Básicos";46280;"ATENCION CERRADA";"DIA CAMA"
201110;;"Dia Cama de Hospitalización Integral Cuidados Medios";52100;"ATENCION CERRADA";"DIA CAMA"
201301;;"Día Cama de Hospitalización Integral Adulto en Unidad de Tratamiento Intermedio (U.T.I)";96890;"ATENCION CERRADA";"DIA CAMA"
201302;;"Día Cama de Hospitalización Integral Pediátrica en Unidad de Tratamiento Intermedio (U.T.I)";96890;"ATENCION CERRADA";"DIA CAMA"
201303;;"Día Cama de Hospitalización Integral Neonatal en Unidad de Tratamiento Intermedio (U.T.I)";96890;"ATENCION CERRADA";"DIA CAMA"
201201;;"Día Cama de Hospitalización Integral Adulto en Unidad de Cuidado Intensivo (U.C.I.)";200590;"ATENCION CERRADA";"DIA CAMA"
201202;;"Día Cama de Hospitalización Integral Pediátrica en Unidad de Cuidado Intensivo (U.C.I).";200590;"ATENCION CERRADA";"DIA CAMA"
201203;;"Día Cama de Hospitalización Integral Neonatal en Unidad de Cuidado Intensivo (U.C.I.)";200590;"ATENCION CERRADA";"DIA CAMA"
201410;;"Día Cama de Hospitalización Integral Obstetricia";46340;"ATENCION CERRADA";"DIA CAMA"
201403;;"Día Cama de Hospitalización Integral Sala Cuna";9350;"ATENCION CERRADA";"DIA CAMA"
201404;;"Día Cama de Hospitalización Integral Incubadora";86930;"ATENCION CERRADA";"DIA CAMA"
201405;;"Día Cama de Hospitalización Integral Psiquiatría Cuidados Básicos";11880;"ATENCION CERRADA";"DIA CAMA"
201406;;"Día Cama de Hospitalización Integral Psiquiatría Cuidados Medios";34390;"ATENCION CERRADA";"DIA CAMA"
201407;;"Día Cama de Hospitalizacion Integral de Observación - Ambulatorio";9750;"ATENCION CERRADA";"DIA CAMA"
201501;;"Dia Cama Hospitalizacion Domiciliaria Cuidados Básicos";45170;"ATENCION CERRADA";"DIA CAMA"
201502;;"Dia Cama Hospitalizacion Domiciliaria Cuidados Medios";69120;"ATENCION CERRADA";"DIA CAMA"
201503;;"Dia Cama Hospitalizacion Domiciliaria Cuidados Alta Complejidad";115130;"ATENCION CERRADA";"DIA CAMA"
301002;;"Acido fólico o folatos";5130;"EXAMENES DE LABORATORIO";
301003;;"Adenograma, mielograma, c/u";6370;"EXAMENES DE LABORATORIO";
301006;;"Agregación plaquetaria con diferentes agonistas";4560;"EXAMENES DE LABORATORIO";
301007;;"Anticoagulantes circulantes o anticoagulante lúpico";4560;"EXAMENES DE LABORATORIO";
301008;;"Antitrombina III";4560;"EXAMENES DE LABORATORIO";
301011;;"Coagulación, tiempo de";1580;"EXAMENES DE LABORATORIO";
301013;;"Tiempo de lisis del coágulo";590;"EXAMENES DE LABORATORIO";
301014;;"Prueba de antiglobulina directa";1250;"EXAMENES DE LABORATORIO";
301017;;"Deshidrogenasa glucosa-6-fosfato en eritrocitos";4790;"EXAMENES DE LABORATORIO";
301020;;"Tiempo de lisis de euglobulinas";1580;"EXAMENES DE LABORATORIO";
301021;;Fibrinógeno;2260;"EXAMENES DE LABORATORIO";
301022;;"Test de neutralización plaquetaria";4560;"EXAMENES DE LABORATORIO";
301024;;"Factor V";2260;"EXAMENES DE LABORATORIO";
301025;;"Factores VII, VIII, IX, X, XI, XII, XIII, c/u";4790;"EXAMENES DE LABORATORIO";
301026;;Ferritina;5820;"EXAMENES DE LABORATORIO";
301027;;"Fibrinógeno, productos de degradación del";4790;"EXAMENES DE LABORATORIO";
301028;;"Fierro sérico";2260;"EXAMENES DE LABORATORIO";
301029;;"Fierro, capacidad de fijación del (incluye fierro sérico)";4790;"EXAMENES DE LABORATORIO";
301030;;"Fierro, cinética del (cada determinación)";5820;"EXAMENES DE LABORATORIO";
301034;;"Clasificación sanguínea AB0 y RhD";2580;"EXAMENES DE LABORATORIO";
301035;;"Haptoglobina cuantitativa";4310;"EXAMENES DE LABORATORIO";
301036;;"Hematocrito (proc. aut.)";710;"EXAMENES DE LABORATORIO";
301038;;"Hemoglobina en sangre total (proc. aut.)";710;"EXAMENES DE LABORATORIO";
301040;;"Hemoglobina fetal cuantitativa en eritrocitos";4790;"EXAMENES DE LABORATORIO";
301041;;"Hemoglobina glicada A1c";4970;"EXAMENES DE LABORATORIO";
301042;;"Hemoglobina plasmática";970;"EXAMENES DE LABORATORIO";
301044;;"Electroforesis de hemoglobina";5130;"EXAMENES DE LABORATORIO";
301045;;"Hemograma (incluye recuentos de leucocitos, eritrocitos, plaquetas, hemoglobina, hematocrito, fórmul";3280;"EXAMENES DE LABORATORIO";
301048;;"Hemosiderina medular";970;"EXAMENES DE LABORATORIO";
301049;;"Cuantificación de heparina";4790;"EXAMENES DE LABORATORIO";
301051;;"Identificación de anticuerpos irregulares eritrocitarios";4790;"EXAMENES DE LABORATORIO";
301054;;Metahemoglobina;1250;"EXAMENES DE LABORATORIO";
301059;;"Tiempo de protrombina (incluye INR, Razón Internacional Normalizada)";1580;"EXAMENES DE LABORATORIO";
301062;;"Recuento de basófilos (absoluto)";970;"EXAMENES DE LABORATORIO";
301063;;"Recuento de eosinófilos (absoluto)";970;"EXAMENES DE LABORATORIO";
301064;;"Recuento de eritrocitos, absoluto (proc. aut.)";710;"EXAMENES DE LABORATORIO";
301065;;"Recuento de leucocitos, absoluto (proc. aut.)";710;"EXAMENES DE LABORATORIO";
301066;;"Recuento de linfocitos (absoluto)";1250;"EXAMENES DE LABORATORIO";
301067;;"Recuento de plaquetas (absoluto)";1250;"EXAMENES DE LABORATORIO";
301068;;"Recuento de reticulocitos (absoluto o porcentual)";970;"EXAMENES DE LABORATORIO";
301069;;"Recuento diferencial o fórmula leucocitaria (proc. aut.)";1960;"EXAMENES DE LABORATORIO";
301070;;"Resistencia globular osmótica";3210;"EXAMENES DE LABORATORIO";
301072;;"Tiempo de sangría (no incluye dispositivo asociado)";1580;"EXAMENES DE LABORATORIO";
301082;;Transferrina;5660;"EXAMENES DE LABORATORIO";
301083;;"Trombina, tiempo de";1960;"EXAMENES DE LABORATORIO";
301085;;"Tromboplastina, tiempo parcial de (TTPA, TTPK o similares)";2500;"EXAMENES DE LABORATORIO";
301086;;"Velocidad de eritrosedimentación (proc. aut.)";580;"EXAMENES DE LABORATORIO";
301089;;"Factor Von Willebrand antigénico (FVW:Ag)";9180;"EXAMENES DE LABORATORIO";
301090;;"Factor Von Willebrand antigénico Cofactor Ristocetina (FVW:CoRis)";9180;"EXAMENES DE LABORATORIO";
301091;;"Proteína C funcional";31500;"EXAMENES DE LABORATORIO";
301092;;"Proteína S";34310;"EXAMENES DE LABORATORIO";
301093;;"Resistencia a la Proteína C activada";22510;"EXAMENES DE LABORATORIO";
301094;;"Estudio de la hemoglobinuria paroxística nocturna (HPN) por citometría de flujo";48590;"EXAMENES DE LABORATORIO";
301095;;Dímero-D;10680;"EXAMENES DE LABORATORIO";
301096;;Procalcitonina;24480;"EXAMENES DE LABORATORIO";
301097;;"Inhibidor de factor de la coagulación";87100;"EXAMENES DE LABORATORIO";
301098;;"Secreción plaquetaria con diferentes agonistas";85300;"EXAMENES DE LABORATORIO";
301099;;"Tiempo de veneno de víbora de Russell diluído";52020;"EXAMENES DE LABORATORIO";
301100;;"Antitrombina III antigénica";34790;"EXAMENES DE LABORATORIO";
301101;;"Actividad anti-factor X activado";39120;"EXAMENES DE LABORATORIO";
301102;;"Tiempo de tromboplastina parcial activado (TTPA) con mezcla de plasma normal";11590;"EXAMENES DE LABORATORIO";
301103;;Mioglobina;43820;"EXAMENES DE LABORATORIO";
301104;;Tromboelastografia;67100;"EXAMENES DE LABORATORIO";
301105;;"Mutación JAK-2";117870;"EXAMENES DE LABORATORIO";
301106;;"Hematocrito automatizado (en contador hematológico)";5230;"EXAMENES DE LABORATORIO";
301107;;"Recuento de reticulocitos (absoluto o porcentual) automatizado";6070;"EXAMENES DE LABORATORIO";
301108;;"Ensayo de unión a colágeno";46800;"EXAMENES DE LABORATORIO";
301109;;"Multimeros del factor Von Willebrand";135000;"EXAMENES DE LABORATORIO";
301110;;"Factor V Leiden";86490;"EXAMENES DE LABORATORIO";
301111;;"Mutación G20210A del gen de la protrombina";75900;"EXAMENES DE LABORATORIO";
301112;;"Anticuerpos antiplaquetarios";115510;"EXAMENES DE LABORATORIO";
301113;;"Folato Eritrocitario";21590;"EXAMENES DE LABORATORIO";
301114;;"Proteína C antigénica";89520;"EXAMENES DE LABORATORIO";
301115;;"Tipificación antigénica de las plaquetas";93150;"EXAMENES DE LABORATORIO";
301116;;"Hemoglobina Glicada, A1c, test rápido en el lugar de asistencia (incluye toma de muestra sangre capi";4970;"EXAMENES DE LABORATORIO";
302001;;"Cuerpos cetónicos en sangre";890;"EXAMENES DE LABORATORIO";
302002;;"Acido cítrico";2490;"EXAMENES DE LABORATORIO";
302004;;"Lactato en sangre";4050;"EXAMENES DE LABORATORIO";
302005;;"Acido úrico, en sangre";1720;"EXAMENES DE LABORATORIO";
302008;;"Amilasa, en sangre";2530;"EXAMENES DE LABORATORIO";
302009;;"Aminoácidos, cualitativo en sangre";6000;"EXAMENES DE LABORATORIO";
302010;;Amonio;2260;"EXAMENES DE LABORATORIO";
302070;;"Apolipoproteínas (A1, B u otras) c/u";7020;"EXAMENES DE LABORATORIO";
302011;;"Bicarbonato (proc. aut.)";710;"EXAMENES DE LABORATORIO";
302012;;"Bilirrubina total (proc. aut.)";1430;"EXAMENES DE LABORATORIO";
302013;;"Bilirrubina total y conjugada";1580;"EXAMENES DE LABORATORIO";
302015;;"Calcio en sangre";1250;"EXAMENES DE LABORATORIO";
302017;;Caroteno;2260;"EXAMENES DE LABORATORIO";
302018;;"Caroteno, prueba de sobrecarga de";5130;"EXAMENES DE LABORATORIO";
302019;;Ceruloplasmina;3490;"EXAMENES DE LABORATORIO";
302020;;"Cobre en sangre";1660;"EXAMENES DE LABORATORIO";
302067;;"Colesterol total (proc. aut.)";1480;"EXAMENES DE LABORATORIO";
302068;;"Colesterol HDL (proc. aut.)";2200;"EXAMENES DE LABORATORIO";
302021;;"Colinesterasa en suero o plasma";3200;"EXAMENES DE LABORATORIO";
302023;;"Creatinina en sangre";1450;"EXAMENES DE LABORATORIO";
302024;;"Clearance de creatinina (proc.aut.)";3200;"EXAMENES DE LABORATORIO";
302025;;"Creatinquinasa CK - MB actividad";5130;"EXAMENES DE LABORATORIO";
302026;;"Creatinquinasa CK - total";3910;"EXAMENES DE LABORATORIO";
302027;;Troponina;10680;"EXAMENES DE LABORATORIO";
302030;;"Deshidrogenasa láctica total (LDH)";2340;"EXAMENES DE LABORATORIO";
302031;;"Deshidrogenasa láctica total (LDH), con separación de isoenzimas";6370;"EXAMENES DE LABORATORIO";
302032;;"Electrolitos plasmáticos (sodio, potasio, cloro) c/u";1330;"EXAMENES DE LABORATORIO";
302033;;"Enzima convertidora de angiotensina I";6370;"EXAMENES DE LABORATORIO";
302034;;"Perfil lipídico (incluye mediciones de colesterol total, HDL-colesterol y triglicéridos con estimaci";6770;"EXAMENES DE LABORATORIO";
302035;;"Fármacos y/o drogas; niveles plasmáticos de (alcohol, anorexígenos, antiarrítmicos, antibióticos, an";6090;"EXAMENES DE LABORATORIO";
302036;;Fenilalanina;2260;"EXAMENES DE LABORATORIO";
302039;;"Fosfatasas alcalinas con separación de isoenzimas hepáticas, intestinales, óseas c/u";6190;"EXAMENES DE LABORATORIO";
302040;;"Fosfatasas alcalinas totales";1460;"EXAMENES DE LABORATORIO";
302042;;"Fósforo (fosfatos) en sangre";1880;"EXAMENES DE LABORATORIO";
302043;;Galactosa;710;"EXAMENES DE LABORATORIO";
302045;;"Gamma glutamiltranspeptidasa (GGT)";2420;"EXAMENES DE LABORATORIO";
302046;;"Gases y equilibrio ácido base en sangre (incluye: pH, O2, CO2, exceso de base y bicarbonato), todos ";4030;"EXAMENES DE LABORATORIO";
302047;;"Glucosa en sangre";1450;"EXAMENES DE LABORATORIO";
302048;;"Glucosa, Prueba de Tolerancia a la Glucosa Oral (PTGO), (dos determinaciones)";6500;"EXAMENES DE LABORATORIO";
302050;;"Adenosindeaminasa en sangre u otro fluido biológico (ADA)";4790;"EXAMENES DE LABORATORIO";
302052;;"Leucinaminopeptidasa (LAP)";2260;"EXAMENES DE LABORATORIO";
302053;;"Lipasa en sangre";2490;"EXAMENES DE LABORATORIO";
302055;;"Litio en sangre";3200;"EXAMENES DE LABORATORIO";
