 periodo |       institucion       | numero_atenciones | ingresos  
 2025-03 | Cruz de Malta S.A.      |                 9 |  43144280
 2025-03 | Cruz pal cielo Ltda.    |                18 | 104223750
 2025-03 | especial S.A.           |                16 |  77256870
 2025-03 | FONASA                  |                13 |  50018210
 2025-03 | Fundación e imperio     |                17 | 335767550
 2025-03 | Medibanc S.A.           |                13 | 124654670
 2025-03 | Menos vida S.A.         |                19 |  96521300
 2025-03 | Particular              |                15 | 266341140
 2025-03 | Salud Ltda.             |                21 |  88402260
 2025-03 | sinsalud S.A.           |                22 |  98988270
 2025-03 | Vida uno S.A.           |                18 |  71055160
 2025-04 | Colmena de avispas S.A. |                13 |  91227550
 2025-04 | Cruz de Malta S.A.      |                15 |  79288250
 2025-04 | Cruz pal cielo Ltda.    |                20 | 165975230
 2025-04 | especial S.A.           |                12 |  48888200
 2025-04 | FONASA                  |                18 |  23437860
 2025-04 | Fundación e imperio     |                18 | 187602630
 2025-04 | Medibanc S.A.           |                16 |  41104550
 2025-04 | Menos vida S.A.         |                15 |  70696740
 2025-04 | Particular              |                15 | 107263440
 2025-04 | Salud Ltda.             |                15 |  59442780
 2025-04 | sinsalud S.A.           |                17 |  56209310
 2025-04 | Vida uno S.A.           |                17 |  82100040
 2025-05 | Colmena de avispas S.A. |                22 | 127287830
 2025-05 | Cruz de Malta S.A.      |                16 | 115527110
 2025-05 | Cruz pal cielo Ltda.    |                15 |  95689370
 2025-05 | especial S.A.           |                13 | 228876220
 2025-05 | FONASA                  |                14 |  12879890
 2025-05 | Fundación e imperio     |                17 |  86510340
 2025-05 | Medibanc S.A.           |                15 | 101364780
 2025-05 | Menos vida S.A.         |                18 | 107956150
 2025-05 | Particular              |                11 |  34935050
 2025-05 | Salud Ltda.             |                16 | 396938360
 2025-05 | sinsalud S.A.           |                17 |  82349890
 2025-05 | Vida uno S.A.           |                11 | 195347800
 2025-06 | Colmena de avispas S.A. |                15 |  71270780
 2025-06 | Cruz de Malta S.A.      |                20 | 187915810
 2025-06 | Cruz pal cielo Ltda.    |                12 | 140560250
 2025-06 | especial S.A.           |                16 | 114405880
 2025-06 | FONASA                  |                11 |  12234440
 2025-06 | Fundación e imperio     |                12 |  57923330
 2025-06 | Medibanc S.A.           |                16 | 330691880
 2025-06 | Menos vida S.A.         |                18 |  85563910
 2025-06 | Particular              |                22 |  94452290
 2025-06 | Salud Ltda.             |                16 |  70585400
 2025-06 | sinsalud S.A.           |                14 |  63835010
 2025-06 | Vida uno S.A.           |                21 | 121872280
 2025-07 | Colmena de avispas S.A. |                15 |  59525450
 2025-07 | Cruz de Malta S.A.      |                13 |  44207310
 2025-07 | Cruz pal cielo Ltda.    |                 8 | 160805950
 2025-07 | especial S.A.           |                17 |  89842810
 2025-07 | FONASA                  |                24 |  25092900
 2025-07 | Fundación e imperio     |                24 |  87019570
 2025-07 | Medibanc S.A.           |                 8 |  13250910
 2025-07 | Menos vida S.A.         |                23 | 115901800
 2025-07 | Particular              |                17 |  65944460
 2025-07 | Salud Ltda.             |                17 | 140917200
 2025-07 | sinsalud S.A.           |                12 | 103589640
 2025-07 | Vida uno S.A.           |                20 | 114289840
 2025-08 | Colmena de avispas S.A. |                11 |  53988610
 2025-08 | Cruz de Malta S.A.      |                10 | 105597910
 2025-08 | Cruz pal cielo Ltda.    |                10 |  32925510
 2025-08 | especial S.A.           |                12 |  37298280
 2025-08 | FONASA                  |                23 |  18290510
 2025-08 | Fundación e imperio     |                18 | 116160490
 2025-08 | Medibanc S.A.           |                18 |  86236770
 2025-08 | Menos vida S.A.         |                18 |  86036030
 2025-08 | Particular              |                21 |  80252700
 2025-08 | Salud Ltda.             |                17 |  67716280
 2025-08 | sinsalud S.A.           |                11 |  84728760
 2025-08 | Vida uno S.A.           |                16 |  67366330
(240 rows)

