"Codigo interno";"Código FONASA";"CONSULTAS Y ATENCION MEDICA";valor
8551;401035;"Radiografía de oído, unilateral o bilateral";111300
7709;401063;"Radiografía de túnel intercondíleo o radio-carpiano";32480
7550;402015;"Artrografía facetaria";388200
8636;402032;"Instalación de catéter o sonda intracardíaca, control por radiólogo";128240
2813;403018;"Tomografía Computarizada de Columna Dorsal. Incluye mínimo 6 espacios ";611520
2215;403016;"Tomografía Computarizada de Pelvis (Además incluye Sacro, Coxis, Caderas, Huesos Pélvicos, Articulaciones Sacro Ilíacas). Bilateral";470960
1470;403022;"Tomografía Computarizada Urografía";581300
4333;403106;"Tomografía Computarizada de Angio Cardíaco. Mínimo 64 cortes";50520
8881;403102;"Tomografía Computarizada angio de tórax";947200
1653;404010;"Ecografía renal (bilateral), o de bazo";56790
8479;405002;"Resonancia Magnética de hipotálamo - hipófisis";1046700
2010;501102;"Cintigrafía  glándulas paratiroides (no incluye MIBI)";75580
8734;501136;"Cintigrafía ósea completa planar";612450
5183;501143;"Cintigrama óseo de cuerpo entero con Spect-CT";187800
4216;501116;"Spect hepatoesplénico, evaluación hemangioma o hiperplasia (incluye mediciones fase precoz y tardía)";793870
4995;501121;"Cistografía isotópica directa (no incluye procedimiento)";302320
6566;501135;"PET-CT ";1412160
1424;602001;"Atención integral de terapia ocupacional";29700
5267;702304;"Sangría (considera el cobro de una prestación por cada unidad de sangre extraída)";79040
4216;702307;"Depleción plaquetaria por aféresis terapéutica";1139190
8934;704017;"Parche de 5x5 cm (25 cm2 c/u) Piel de Donante";541860
6396;704025;"Rodaja de Tejido óseo (Liofilizado/congelado), c/u";465000
6524;704030;"Procuramiento y Procesamiento Válvulas Cardiacas. Cada válvula";746740
4810;903007;"Programa de rehabilitación tipo 1 (mensual, grupo 6 a 10 pers.)";2232090
3173;1101006;"Electroencefalograma (E.E.G.) standard y/o activado ""sin privación de sueño"" (incluye mono y bipolares, hiperventilación, c/s reactividad auditiva, visual, lumínica, por drogas u otras). Equipo de 8 canales";150120
2018;1101043;"EEG digital 32 canales (con activaciones HV y FE) estándar o post privación de sueño de 20 a 30 minutos duración";190850
4386;1101028;"Infiltración o bloqueo de ramas del trigémino o del facial";9330
1424;1103003-9;"Hundimiento simple, reparación de";2365200
1615;1103005-10;"Craneoplastía con prótesis (no incluye el valor de la prótesis)";2005780
4933;1103016-10;"Hematoma, empiema o colección subdural, vaciamiento de";3440220
1684;1103019-12;"Absceso cerebral, trat. quir.";3432700
6642;1103027-13;"Aneurismas, malformaciones arteriovenosas encefálicas u orbitarias, fístulas durales";7706340
5372;1103078-10;"Cementación vertebral cervical, dorsal o lumbar hasta 3 niveles";4127150
6566;1103061-8;"Sección de nervio, reparación sin injerto";583260
6925;1103066-7;"Liberación quirúrgica de nervio periférico extracraneano (trat. quir. del Síndrome del Túnel Carpiano, tarso u otro)";1309980
6430;1201002;"Coordimetría, test de Hess u otro, unilateral";32700
7484;1201007;"Electromiografía músculos oculares niños, unilateral";133560
3295;1201019-1;"Exploración vitreorretinal, ambos ojos";67700
3190;1201033;"Vía lagrimal, cateterismo o sondaje en niños";140720
3827;1201037-3;"Glaucoma, ciclodiatermia y/o ciclocrioterapia";98180
4878;1201038;"Inyección retrobulbar";88200
9730;1202006-3;"Extirpación de saco y/o glándula lagrimal";115500
1560;1202007-6;"Reconstitución vía lagrimal en ausencia del saco";1282750
8510;1202019-4;"Entropión, plastía de";662940
3332;1202020-4;"Epicanto, plastía de";294640
8633;1202030-7;"Corrección de cavidad anoftálmica trat. completo";564450
9705;1202032-11;"Exanteración orbitaria o tumor orbitario, trat. quirúrgico completo";393760
3117;1301002;"Rinomanometría c/s vasocontrictor";7710
7088;1301005;"Sinusoscopia de cada seno maxilar por punción, c/s biopsia, c/s toma de muestras";61740
3083;1301010;"Calibración de audífonos o implantes";37440
3512;1301026-2;"**Taponamiento nasal posterior";39840
7637;1301027;"Vaciamiento cavid. perinasales (Proetz y sim.) (10 sesiones)";131100
5089;1301038-2;"Cuerpo extraño extracción en hipofaringe y/o esófago (por tubo rígido) - En niños";79590
6214;1301040-2;"Lesiones del oído externo y/o medio, curación bajo microscopio (proc. aut.)";13260
8190;1301046;"Potenciales evocados auditivos de tronco cerebral acortados";163350
7788;1302002-3;"Extracción cuerpo extraño en conducto auditivo externo";95400
7632;1302077-7;"Implante activo de oído medio";1324920
6437;1302081-7;"Meatoplastía en oído radicalizado";323940
3289;1302084-8;"Resección total del hueso temporal (abordaje combinado orl y neurocirujano)";1617360
6402;1302088-6;"Tiroplastia 1-4";3217860
4456;1302013-7;"Reconstitución plástica de conducto auditivo externo cartilaginoso";2117220
3018;1302017-7;"Tratamiento quirúrgico de tumor glómico timpánico";1209840
9470;1302022-2;"**Biopsia buco-faríngea (proc. aut.)";222800
6895;1302025-1;"**Drenaje de absceso o flegmón periamigdaliano";75920
1720;1302029-5;"Amigdalectomía c/s adenoidectomía, uni o bilateral";1768700
3675;1302033-6;"**Extirpación de  tumor benigno de la base de la lengua                                                                                      ";777840
8711;1302057-5;"Tumor nasal, extirp. por rinotomía lateral";379720
2226;1302058-5;"Vaciamiento etmoidal por vía nasal c/s polipectomía";788950
9244;1302097-6;"Tumor de espacio parafaríngeo, extirpación";1207000
9541;1302099-5;"Sinuplastía seno frontal con balón por endoscopía u otra técnica";1481520
5690;1302069-5;"Laringocele, trat. quir.";1095300
4235;1302070-2;"Papilomas laríngeos, trat. quir. (por sesión)";402990
5850;1402005-6;"Lobectomía con o sin istmectomía o resección parcial";522100
4990;1402019-3;"**Absceso parotídeo, sub-maxilar y/o cervical profundo, trat. quir.";1316320
3993;1402020-5;"**Conductos salivales de excreción, reimplantación oro-faríngea";730200
5128;1402023-6;"Tratamiento quirúrgico Torticolis Congénita";1555680
7421;1402024-6;"Quistes y/o fístulas del conducto tirogloso, y/o branquial, y/o higroma, y/o fístula preauricular complicada, y/u otros quistes y/o tumores benignos, trat. quir.";1555680
5056;1402027-2;"Biopsia quir., piel  y mucosa cara (proc. aut.)";272560
2714;1402029-3;"Resección cutánea simple (sutura primaria)";143100
2624;1402048-8;"Extirpación de tumor intraoral amplia en tercio posterior cavidad oral (región faringea) ";5489200
3208;1502070-10;"Expansor de piel (único) primer tiempo";2781100
3728;1502015-5;"Plastías en Z, 4 y más";730200
2464;1502016-7;"- Colgajos complejos (Abbe, Mustarda, Converse, Juri, Bakamjian o similar)";1215600
1622;1502025-4;"Orejas aladas o en asa, corrección plástica";1559430
3512;1502037-7;"**Tratamiento quirúrgico de anomalías cráneo faciales";2378040
7868;1502043-12;"Síndrome de Apert Crouzon o similar: osteotomía tipo Le Fort III o similar";4425420
7757;1502044-6;"Corrección telecanto";2195800
3035;1502052-7;"Reconstrucción mamaria";1942990
7599;1502058-5;"Polidactilia, extirpación y plastía unilateral";1525900
7375;1502066-6;"Escarectomía por cada 10% adicional (o su fracción) (Se cobrará cód. ad. una sóla vez por superficie entre el 11% y 50%).";573180
8914;1601111-2;"Aplicación de inmunomoduladores, químicos y similares hasta 10 lesiones por sesión";17600
7172;1601113-2;"Fototerapia UVB, Banda Angosta y UVA por sesión en cabina";70400
8051;1601118;"Tumor maligno por criocirugía (por cada lesión) por sesión";150840
2377;1601125;"Terapia fotodinámica (no incluye medicamento) por sesión";440600
4525;1602201-2;"**Biopsia de piel y/o mucosa por curetaje o sección tangencial c/s electro por 1 lesión";181040
6308;1602204-2;"Cabeza, cuello y genitales desde 4 y hasta 6 lesiones: extirpación, reparación o biopsia, total o parcial, de lesiones benignas cutáneas por excisión";159750
7540;1701001;"E.C.G. de reposo (incluye mínimo 12 derivaciones y 4 complejos por derivación)";35700
4930;1701021;"Ventriculografía izquierda, en adultos o niños (incl. proc. rad., y sondeo cardíaco izquierdo)";1298680
3241;1701004;"Registro de haz de His, en adultos o niños";158000
4656;1701058;"Test de esfuerzo con consumo de oxígeno (adultos y niños)";55510
2101;1701059-1;"Tilt test o prueba de inclinación";288120
2892;1701013-4;"Cateterismo en recién nacido por arteria umbilical";37200
5176;1701014;"Instalación de catéter Swan-Ganz o similar, en adultos o niños (proc. aut.)";186800
8035;1701015;"Doppler con ergometría (por sesión)";23220
3165;1701018;"Registro ecoarterial o ecovenoso periférico c/u (por sesión)";166960
9801;1701030;"Punción evacuadora de pericardio, c/s toma de muestra c/s inyección de medicamento";46830
7599;1701061;"Arteriografía selectiva o superselectiva pulmonar en adultos o niños (incl. proc. rad.)";1102320
2752;1701069;"Arteriografía selectiva o superselectiva arteria vesical en adultos o niños (incl. proc. rad.)";1102320
6647;1703071-14;"Aneurisma torácico con compromiso de arco aórtico tratamiento endovascular";4346460
4441;1703014-10;"Endarterectomía carotídea, subclavia, vertebral, femoral, o similar  c/s injerto (proc. aut.)";4372800
4758;1703017-10;"Puente fémoro-tibial o distales";3826200
2813;1703018-10;"Puente fémoro-poplíteo";546600
1376;1703022-12;"Anastomosis venosas intraabdominales";4907520
4080;1703081-4;"Ablación troncos venosos con técnica térmica (laser, radiofrecuencia u otras)";3204000
8174;1703032-7;"Anastomosis linfovenosas";291420
4914;1703035-3;"Biopsia quir. ganglionar (cualquier región periférica superficial o profunda) (proc. aut.)";1138300
4651;1703070-10;"Vaciamiento mediastínico ántero-superior";1529400
4675;1703063-14;"- De complejidad Menor: incluye comunicación interauricular simple, estenosis pulmonar valvular, estenosis mitral o similar";12633530
8880;1704001-10;"Cirugía del opérculo torácico (resección de primera costilla, cualquier abordaje); unilateral";3748200
4977;1704079-12;"Cirugía del opérculo torácico por vía videotoracoscopica";1026420
4144;1704006-8;"Resección de pared costal c/plastía (toracoplastía osteoplástica de York o similar)";3082100
4949;1704080-12;"Videotoracoscopía exploradora ";3315830
4873;1704010-6;"Toracotomía mínima c/s resección costal, c/s biopsia, c/s drenaje";822400
2450;1704013-8;"Drenaje quir. de mediastino, vía torácica";1799520
5107;1704083-12;"Frenoparalisis tratamiento quirúrgico por vía videotoracoscopica";5602230
8105;1704067-11;"Cirugía del diafragma con cirugía de vísceras abdominales o torácicas por vía toracoscopia";3444100
1978;1704069-11;"Cirugía de tumores o malformaciones diafragmaticos por videotoracoscopia";3351760
5503;1704085-10;"Pleurodesis por vía videotoracoscopica";2372850
7651;1704088-8;"Fibrinolisis pleural por pleurotomía";1994130
4555;1704029-10;"Broncotomía o traqueobroncotomía exploradora o terapéutica por toracotomía (proc. aut.)";3103840
3320;1704031-10;"Plastía de tráquea y/o bronquios c/s resección, c/s prótesis (no incluye el valor de la prótesis)";3215500
8934;1704091-12;"Lobectomía o bilobectomía por vía videotoracoscopica";4431520
5746;1704042-10;"Metástasis unilateral pulmón";3677760
3412;1704047-6;"Extracción cuerpo extraño esofágico por vía cervical";823240
3190;1704048-9;"Cuerpo extraño esofágico, extracción por esofagotomía, vía torácica";1821350
7414;1704057-12;"Esofagectomía total con esofagostomía, gastrostomía y yeyunostomía";1254540
9565;1704058-12;"Esofagogastrectomía proximal";3412050
8783;1704063-8;"Várices esofágicos, ligadura directa";2230080
4481;1704076-13;"Atresia esofágica con fístula traqueoesofágica por toracoscopia";3226120
4923;1704077-13;"Atresia esofágica sin fístula traqueoesofágica por toracoscopia";4839180
8914;1707014;"Medición de presión inspiratoria máxima (proc. aut.)";4810
7236;1707015;"Medición de presión trans-diafragmática";29680
7449;1707059;"Volúmenes pulmonares por pletismografía corporal. Estudio basal y post broncodilatador";476600
5785;1707021-3;"Laringotraqueobroncoscopía con fibroscopio";398070
8891;1707024-3;"Pleuroscopia (toracoscopia) c/s biopsia";49180
4807;1707060-11;"Colocación de stent endobronquial por broncoscopía";5620560
5528;1707055;"Saturación de O2 en reposo y ejercicio y O2 100% (con oxímetro) ";3700
3186;1801003-3;Enteroscopía;415800
2693;1801015-2;"Biopsia de intestino delgado, por cápsula (de Rubin, Crosby o sim.)";220700
4780;1801019;"Drenaje de la vía biliar transhepática y/o percutáneo ";171540
1458;1801022;"Instalación sonda de Sengstaken";19060
9810;1801026-2;"Dilatación de estenosis benignas o malignas del tracto digestivo por bujía";60160
7059;1801028-2;"Cuerpo extraño, extracción endoscópica";181840
2150;1801045-4;"Polipectomía o Mucosectomía endoscópica baja";704160
1784;1801033-4;"Inyectoterapia hemostática, Hemostasia mecánica, Hemostasia térmica, Ligadura elástica";136240
6501;1801047-4;"Ligadura hemorroidaria con doppler";184900
2292;1801049-1;"Manometría anorrectal alta resolución";281040
6600;1801060;"Test de carbono en aire espirado";1132500
5549;1802254-8;"Hernia Abdominal por acceso miniinvasivo (Incluye malla)";4449340
6194;1802155-8;"Hernia diafragmática, hernia hiatal, hernia ventral con abordaje retromuscular, cualquier vía (no incluye malla retromuscular)""";5418400
7271;1802005-7;"Onfalocele (hasta 5 cms.); trat. quir.";1146650
8731;1802015-7;"Perforación gástrica aguda, trat. quir. (proc. aut.)";1644780
1513;1802018-9;"Gastrectomía subtotal sin disección ganglionar";3843270
4228;1802022-11;"Gastrectomía total";2523800
3462;1802083-7;"Cirugía de la estenosis hipertrófica del píloro. Abierta";729360
9377;1802086-9;"Cirugía antirreflujo más gastrostomía";575400
9564;1802152-10;"Cirugía del quiste de colédoco laparoscópico";1975800
6540;1802036-12;"Desconexión ácigoportal sin transección esofágica";1226880
2018;1802041-12;"Lobectomía hepática (proc. aut.)";1475140
5211;1802088-10;"Cirugía de la atresia de vía biliar";2012220
8456;1802045-10;"Pancreatectomía parcial";1639800
7424;1802048-7;"Secuestrectomía en pancreatitis aguda";2733060
1876;1802091-11;"Atresia o estenosis duodenal, páncreas anular, reparación quirúrgica laparoscopia";1102260
7355;1802092-11;"Esplenectomía por vía laparoscopia";873220
2024;1802050-8;"Esplenectomía total o parcial (proc. aut.)";3358600
1509;1802051-9;"Operación de etapificación (incluye esplenectomía, biopsias hepáticas, de ganglios abdominales y de cresta ilíaca)";1870760
1727;1802059-6;"Enterotomía o enterostomía (yeyunostomía u otra) (proc. aut.)";605190
7779;1802063-7;"Quiste uraco, trat. quir.";2183300
9447;1802065-8;"Oclusión intestinal con resección";2014680
2412;1802070-9;"Hartmann, operación de (o similar)";1045740
4124;1802071-7;"Perforación y/o herida de intestino, única o múltiple, trat. quir. (proc. aut.)";791520
3038;1802082-8;"Resección intestinal con ostomías proximal y distal";1610100
1784;1802097-10;"Cirugía de la enterocolitis neonatal sin resección intestinal";2978900
3966;1802102-10;"Atresia o estenosis yeyuno-ileal, reparación primaria abierta";1356680
3927;1803004-5;"Biopsia quirúrgica rectal (proc. aut.)";392350
4102;1803017-5;"Fisura anal, repar. quir.";778880
7625;1803019-3;"Hemorroides, trombectomía (proc. aut.)";186960
8099;1803020-9;"Imperforación anal, reconstitución tránsito por vía abdómino-perineal";2914160
3138;1803025-8;"Pólipo rectal, trat.quir. por vía abdominal";1472200
5848;1803030-6;"Prurito anal, trat. quir. por denervación";102390
3524;1803034-9;"Resección anterior de recto";2338450
6159;1803035-10;"Resección perineal de ano y recto";381110
6975;1803036;"A los cirujanos del equipo perineal en cada intervención anterior cód.18-03-029, 18-03-032, y 18-03-033";413760
3796;1803038-5;"Condilomas anales, trat. quir. ";453990
8797;1803041-12;"Cirugía reparadora en Enfermedad de Hirschsprung vía abdomino-perineal";4405800
2778;1901001;"Exploración de uretra ántero-posterior con bujía y/o explorador olivar, y/o sonda, y/o Beniqué, y/o medición de residuo vesical (la calibración del meato esta incluída en el valor de la consulta)";29700
2949;1901006-3;"Biopsia renal transparietal";74000
3597;1901019-3;"Instilación vesical (incluye colocación de sonda) proc. aut.";41750
5534;1901126;"Instalación de Catéter para Peritoneodiálisis";3217800
7799;1901033-4;"Revisión de catéter de peritoneodiálisis laparoscopia";2916480
1721;1902005-8;"Litiasis renal, trat. quir. percutáneo c/s ultrasonido (incluye todo el procedimiento)";2987700
1349;1902013-8;"Pielotomía exploradora y/o terapéutica (incluye la  pielostomía y/o pieloplastía)";2635020
1913;1902019-8;Ureterectomía;809560
3489;1902091-9;"Reparación vesical por trauma o daño de cualquier tipo. Por vía de abordaje laparoscópica";2092510
2528;1902032-8;"Extrofia vesical, proc. completo";4254500
9067;1902033-8;"Fístula vésico-cutánea, y/o vaginal, y/o intest., trat. quir.";2960010
7274;1902092-9;"Inyección ureteral o vesical de medicamentos o sustancias vía endoscópica (no incluye fármaco)";2220560
2138;1902040-8;"Extirpación divertículo o quiste para-uretral, cualquier vía";2686880
6404;1902051-5;Uretrostomía;164990
2898;1902054-5;"Tratamiento quirúrgico de absceso prostático y/o vesículas seminales, cualquier vía o técnica";1642950
3018;1902066-5;"Orquidopexia unilateral";912750
7807;1902069-11;"Disección ganglionar lumboaórtica por cáncer testicular, cualquier vía o técnica, uni o bilateral o modificada.";5047600
6413;1902071-5;"Cirugía del epidídimo y cordón (proc.aut), incluye cirugía intravaginal y/o varicocele mismo lado";1406160
3609;1902073-5;"Quistes del cordón, y/o epidídimo, extirpación; epididimotomía diagnóstica y/o terapéutica (proc. aut.)";1277850
9841;1902076-5;"Vasectomía bilateral, (proc. aut.) (la vasectomía como tiempo previo a una resección de próstata esta incluida en la prostatectomía)";365100
2058;1902083-5;"Cirugía traumatismo peneano o curvaturas  adquiridas de la albugínea";1807920
8543;2001010;"Monitoreo fetal estresante, con control permanente del especialista y tratamiento de las posibles complicaciones";65560
2684;2001015-2;"Colocación o extracción de dispositivo intrauterino (no incluye el valor del dispositivo)";86800
4653;2001020;"Test postcoital";39990
2046;2003002-7;"Anexectomía y/o vac. de absceso tubo-ovárico, uni o bilateral.";1055360
4974;2003007-8;"Esterilidad tubaria, operación plástica uni o bilateral sin microcirugía";308210
5170;2003024-7;"Prolapso anterior y/o posterior c/s trat. de incontinencia urinaria por vía vaginal, trat. quir.";1701840
8986;2003047-5;"Prueba de neuromodulación sacra básica: Evaluación periférica de raíces sacras";1071080
7236;2003049-13;"Prueba avanzada de neuromodulación sacra: Implante o revisión de neuroelectrodo sacro cuadripolar";7759170
8146;2003051-4;"Explante de neuroelectrodo sacro cuadripolar espiculado o revisión de bolsillo glúteo";4310650
4023;2004002-4;#NAME?;142420
3066;2104001-3;"Artroscopía diagnóstica c/s biopsia, c/s sección de bridas, extracción de cuerpo extraño";1528720
8931;2104011-5;"Tratamiento completo de fracturas expuestas de mano o pie, c/u      ";427540
1249;2104013-6;"**Osteomielitis aguda hematógena, drenaje quirúrgico, c/s dispositivos de osteoclisis";229490
7227;2104016-5;"**Artrotomía de codo, muñeca, tobillo o temporomandibular, c/u";2137400
5165;2104021-7;"**Transplante óseo (auto u homotrasplante)";4079790
7751;2104024-7;"Metástasis ósea c/s fractura patológica, legrado tumoral, relleno cemento quirúrgico y osteosíntesis";1293760
5788;2104027-7;"Tumores óseos: resección en bloque, epifisiaria c/artrodesis o diafisiaria";2456930
7807;2104028-11;"Tumores primarios o metastásicos vertebrales: corporectomía, reemplazo por cemento quir. o injerto óseo, c/s osteosíntesis";6752000
7283;2104029-5;"Sinovectomías quirúrgicas de codo o muñeca o metacarpofalángicas, c/u";179360
6853;2104040-11;"Amputación interescápulo-torácica";1215440
7783;2104046-6;"Fractura escápula, osteosíntesis";1376880
5314;2104047-7;"Luxación acromio-clavicular o esterno-clavicular, reducción o plastía cápsuloligamentosa y osteosíntesis";1759590
5160;2104056-6;"Osteosíntesis supra o intercondílea (cualquier técnica)";1663690
3337;2104060-6;"Cúpula radial, resección";1605940
6804;2104062-10;"Endoprótesis total de codo, (cualquier técnica)";3047380
8561;2104065-6;"Luxofractura de codo, reducción cruenta c/s resección cúpula radial";688470
3634;2104066-6;"Osteosíntesis epitroclea-epicóndilo (cualquier técnica)";2294800
2205;2104068-7;"Traslocación nervio cubital (proc. aut.)";1152240
4324;2104069-7;"Operación de salvataje radio-procúbito";2337210
8543;2104073-6;"Osteosíntesis, fract.cerrada cúbito y/o radio (cualq. tecn.)";229480
1529;2104075-6;"Pseudoartrosis  cúbito y/o radio c/s osteosíntesis c/s yeso";2294800
1317;2104079-10;"Endoprótesis total de muñeca, (cualquier técnica)";2176700
6619;2104099-4;"Osteosíntesis metacarpianas o de falanges, cualquier técnica";1206720
8246;2104103-6;"Reparación flexores: primer tiempo espaciador silastic";688260
7069;2104105-5;"Rupturas cerradas cápsulo-ligament. o tendinosas, trat. quir. mano";1282440
7424;2104109-3;"Tenosinovitis séptica, trat. quir. mano";200490
7458;2104110-11;"Trasplante microquirúrgico para pulgar";3787860
2746;2104111-5;"Transposiciones tendinosas flexoras o extensoras mano";1496180
9632;2104203-4;"Tratamiento quir., dedos en gatillo, cualquier número téc. WALANT (anestesia local sin torniquete)";201120
8014;2104113-13;"Escoliosis, trat. quir., cualquier vía de abordaje, e instrumentación de Harrington,  Luque, Dwyer o similares ";9216200
3814;2104123-8;"Fractura de pelvis, osteosíntesis quir.";1830850
8535;2104130-8;"Epifisiolisis lenta o aguda, trat. quir.";708740
7165;2104131-10;"Fractura de cuello de fémur, osteosíntesis, cualquier técnica ";2097800
9102;2104133-7;"Luxación traumática de cadera, reducción cruenta";646880
7110;2104142-7;"Amputación muslo";793290
5936;2104143-8;"Epifisiodesis (fémur y/o tibia)";1453350
5554;2104150-6;"Artrotomía por cuerpos libres, osteocondritis rodilla (proc. aut)";917920
6491;2104153-10;"Endoprótesis total de rodilla, (cualquier técnica)";1295660
4656;2104157-6;"Luxación o rotura ligamentos, trat. quir. cápsulo-ligamentoso";1376940
2868;2104163-6;"Traslocaciones músculo-tendinosas en rodilla paralítica o espástica";2109940
6652;2104166-5;"Fasciotomía por síndrome compartamental";427480
3973;2104172-6;"Pseudoartrosis, c/s osteosíntesis  (cualquier técnica) pierna";2139030
7574;2104196-6;"Pie bot u otras malformaciones congénitas, trat. quir. (cualquier técnica)";2138940
4069;2104197-5;"Pie cavo, trat.quir. (cualquier técnica)";1496390
5676;2104198-5;"Pie plano, trat. quir. (cualquier técnica)";1068850
3779;2106001-9;"**Retiro de endoprótesis u osteosíntesis internas articulares o de columna vertebral";2541150
3823;2106003-5;"Retiro de tornillos, clavos, agujas de osteosíntesis o similares";157620
6164;2107010-4;"Pie bot, unilateral, hasta 10 cambios de yeso";1026900
8369;2401061;"Rescate simple y/o traslado en móvil 1";215440
3083;2401062;"Rescate profesionalizado y/o traslado paciente complejo móvil 2";508260
2792;2401064;"Traslado en ambulancia";22200
3431;2701114;"Trabajo comunitario";53200
5170;2702102;"Radiografía Retroalveolar Unitaria Niño (por placa)";20150
6804;2702104;"Radiografía Bite-Wing Niño (por placa)";20150
6075;2702108;Telerradiografía;80000
2311;2702114;"Tomografía Computada de Cuello Suprahioideo con contraste";493840
6620;2702117;"Estudio de Localización Maxilofacial";127500
2205;2703108;"Exodoncia diente primario";3610
7983;2703112;"Profilaxis Dental ";137600
1751;2703113;"Acceso Cavitario";34790
3898;2704001;"Obturación Inlay metal (incluye materiales no preciosos, no incluye oro)";68250
7780;2704002;"Dispositivo Interoclusal";130650
6393;2704003;"Prótesis de restitución (fase clínica)";340200
9282;2704005;"Prótesis de restitución (fase laboratorio)";197680
5939;2704007;"Reparación corona";8710
5571;2704010;"Restitución por corona provisoria";261300
9230;2704013;"Tratamiento ortodoncia con aparatología fija (incluye aparato) (año 2)";623700
7535;2704015;"Endodoncia birradicular";657300
5010;2704016;"Endodoncia unirradicular";117580
8022;2704025;"Instilación de Glándula Salival (c/u) (Procedimiento)";20040
5098;2704026;"Infiltración de la Articulación Temporomandibular, por sesión";30040
4211;2705013-3;"Plastía de fístula salival";488000
4202;2705018-4;"Sutura completa de herida mayor";417600
6336;2705023-3;"Tratamiento de traumatismo dento alveolar simple";262440
5393;2901003;"Tratamiento Integral braquiterapia alta o mediana dosis, HDR (por sesión)";10561410
8323;2902001;"Tratamiento integral de radioterapia altamente compleja con Linac ";14526450
1284;2902009;"Tratamiento integral de radioterapia altamente compleja con cobalto";25101280
4765;2902010;"Tratamiento integral de radioterapia compleja con cobalto";21451920
4189;2902011;"Tratamiento integral de radioterapia estándar con cobalto";22253300
2464;2902012;"Tratamiento integral de radioterapia convencional con cobalto ";7660600
3318;2908004;"VTD (Talidomida - Dexametasona - Bortezomib) (ciclo)";515340
9798;2908011;"VIP (Etopósido - Cisplatino - Ifosfamida - Mesna) (ciclo)";1276400
9715;2908018;"AC Dósis densa (Doxorrubicina - Ciclofosfamida) (ciclo)";206700
6968;2908019;"FOLFIRINOX (5 Fluorouracilo - Leucovorina - Oxaliplatino - Irinotecan) (ciclo)";2086550
7357;2908032;"Lanreotide (ciclo)";2536980
5125;2908036;"Gemcitabina (ciclo)";316500
2835;2908038;"Capecitabina (ciclo)";205310
1463;2908039;"MPT (Melfalan - Prednisona - Talidomida) (ciclo)";787040
1435;2908054;"Azacitidina (ciclo)";6593300
3048;2908058;"Rituximab (ciclo)";9972180
8124;2908059;"Rituximab - Ciclofosfamida - Dexametasona (ciclo)";1133920
9586;2908066;"FOLFIRI (5 Fluorouracilo - Leucovorina - Irinotecan) (ciclo)";573960
3851;2908067;"Pemetrexed - Carboplatino (ciclo)";276900
1894;2908071;"Pemetrexed - Cisplatino (ciclo)";516360
1435;2908074;"Docetaxel - Carboplatino (ciclo)";1594980
9604;2908082;"Ifosfamida - Mesna (ciclo)";621520
4158;2908086;"5 Fluorouracilo (por una vez)";970710
1939;2908088;"5 Fluorouracilo - Mitomicina C (ciclo)";1034760
1432;2908092;"Etopósido - Cisplatino (ciclo)";852600
3337;2908095;"Abiraterona  (mensual)";238830
9053;2908098;"Osimertinib (mensual)";14476170
6121;2908101;"Sorafenib (mensual)";6475680
1970;2908107;"Dasatinib (mensual)";7441040
8595;2908119;"ESHAP (Etopósido - Cisplatino - Citarabina) (ciclo)";1368850
8391;2908128;"Pembrolizumab (ciclo)";17387840
3846;2908138;"Brigatinib (ciclo)";6406340
