[2025-10-29 12:19:19] L2 codF:'0101001'->101001 | valor:'7.290'->7290
[2025-10-29 12:19:19] L74 codF:'0107001'->107001 | valor:'8.000'->8000
[2025-10-29 12:19:19] L75 codF:'0107002'->107002 | valor:'8.000'->8000
[2025-10-29 12:19:19] L76 codF:'0107003'->107003 | valor:'12.590'->12590
[2025-10-29 12:19:19] L77 codF:'0107004'->107004 | valor:'8.890'->8890
[2025-10-29 12:19:19] L78 codF:'0107005'->107005 | valor:'8.890'->8890
[2025-10-29 12:19:19] L79 codF:'0108001'->108001 | valor:'6.060'->6060
[2025-10-29 12:19:19] L80 codF:'0108201'->108201 | valor:'8.630'->8630
[2025-10-29 12:19:19] L81 codF:'0108202'->108202 | valor:'8.630'->8630
[2025-10-29 12:19:19] L82 codF:'0108206'->108206 | valor:'8.630'->8630
[2025-10-29 12:19:19] L83 codF:'0108207'->108207 | valor:'8.630'->8630
[2025-10-29 12:19:19] L84 codF:'0108208'->108208 | valor:'8.630'->8630
[2025-10-29 12:19:19] L85 codF:'0108209'->108209 | valor:'8.630'->8630
[2025-10-29 12:19:19] L86 codF:'0108210'->108210 | valor:'8.630'->8630
[2025-10-29 12:19:19] L87 codF:'0108211'->108211 | valor:'8.630'->8630
[2025-10-29 12:19:19] L88 codF:'0108212'->108212 | valor:'8.630'->8630
[2025-10-29 12:19:19] L89 codF:'0108213'->108213 | valor:'8.630'->8630
[2025-10-29 12:19:19] L90 codF:'0108301'->108301 | valor:'8.630'->8630
[2025-10-29 12:19:19] L91 codF:'0108302'->108302 | valor:'8.630'->8630
[2025-10-29 12:19:19] L92 codF:'0108303'->108303 | valor:'8.630'->8630
[2025-10-29 12:19:19] L93 codF:'0108304'->108304 | valor:'8.630'->8630
[2025-10-29 12:19:19] L94 codF:'0108305'->108305 | valor:'8.630'->8630
[2025-10-29 12:19:19] L95 codF:'0108306'->108306 | valor:'8.630'->8630
[2025-10-29 12:19:19] L96 codF:'0108307'->108307 | valor:'8.630'->8630
[2025-10-29 12:19:19] L97 codF:'0108308'->108308 | valor:'8.630'->8630
[2025-10-29 12:19:19] L98 codF:'0108309'->108309 | valor:'8.630'->8630
[2025-10-29 12:19:19] L99 codF:'0108310'->108310 | valor:'8.630'->8630
[2025-10-29 12:19:19] L100 codF:'0108311'->108311 | valor:'8.630'->8630
[2025-10-29 12:19:19] L101 codF:'0108319'->108319 | valor:'8.630'->8630
[2025-10-29 12:19:19] L102 codF:'0108320'->108320 | valor:'8.630'->8630
[2025-10-29 12:19:19] L103 codF:'0108321'->108321 | valor:'8.630'->8630
[2025-10-29 12:19:19] L104 codF:'0108322'->108322 | valor:'8.630'->8630
[2025-10-29 12:19:19] L105 codF:'0108323'->108323 | valor:'8.630'->8630
[2025-10-29 12:19:19] L106 codF:'0108324'->108324 | valor:'8.630'->8630
[2025-10-29 12:19:19] L107 codF:'0108325'->108325 | valor:'8.630'->8630
[2025-10-29 12:19:19] L108 codF:'0108326'->108326 | valor:'8.630'->8630
[2025-10-29 12:19:19] L109 codF:'0108327'->108327 | valor:'8.630'->8630
[2025-10-29 12:19:19] L110 codF:'0108331'->108331 | valor:'8.630'->8630
[2025-10-29 12:19:19] L111 codF:'0108203'->108203 | valor:'8.630'->8630
[2025-10-29 12:19:19] L112 codF:'0108204'->108204 | valor:'8.630'->8630
[2025-10-29 12:19:19] L113 codF:'0108205'->108205 | valor:'8.630'->8630
[2025-10-29 12:19:19] L114 codF:'0108312'->108312 | valor:'8.630'->8630
[2025-10-29 12:19:19] L115 codF:'0108313'->108313 | valor:'8.630'->8630
[2025-10-29 12:19:19] L116 codF:'0108314'->108314 | valor:'8.630'->8630
[2025-10-29 12:19:19] L117 codF:'0108315'->108315 | valor:'8.630'->8630
[2025-10-29 12:19:19] L118 codF:'0108316'->108316 | valor:'8.630'->8630
[2025-10-29 12:19:19] L119 codF:'0108317'->108317 | valor:'8.630'->8630
[2025-10-29 12:19:19] L120 codF:'0108318'->108318 | valor:'8.630'->8630
[2025-10-29 12:19:19] L121 codF:'0108329'->108329 | valor:'8.630'->8630
[2025-10-29 12:19:19] L122 codF:'0108332'->108332 | valor:'8.630'->8630
[2025-10-29 12:19:19] L123 codF:'0108333'->108333 | valor:'8.630'->8630
[2025-10-29 12:19:19] L124 codF:'0108334'->108334 | valor:'8.630'->8630
[2025-10-29 12:19:19] L125 codF:'0108400'->108400 | valor:'24.940'->24940 | tipo:>30 -> trunc
[2025-10-29 12:19:19] L126 codF:'0109001'->109001 | valor:'8.630'->8630 | tipo:>30 -> trunc
[2025-10-29 12:19:19] L127 codF:'0109002'->109002 | valor:'7.340'->7340 | tipo:>30 -> trunc
[2025-10-29 12:19:19] L128 codF:'0201010'->201010 | valor:'46.280'->46280
[2025-10-29 12:19:19] L129 codF:'0201110'->201110 | valor:'52.100'->52100
[2025-10-29 12:19:19] L130 codF:'0201301'->201301 | valor:'96.890'->96890
[2025-10-29 12:19:19] L131 codF:'0201302'->201302 | valor:'96.890'->96890
[2025-10-29 12:19:19] L132 codF:'0201303'->201303 | valor:'96.890'->96890
[2025-10-29 12:19:19] L133 codF:'0201201'->201201 | valor:'200.590'->200590
[2025-10-29 12:19:19] L134 codF:'0201202'->201202 | valor:'200.590'->200590
[2025-10-29 12:19:19] L135 codF:'0201203'->201203 | valor:'200.590'->200590
[2025-10-29 12:19:19] L136 codF:'0201410'->201410 | valor:'46.340'->46340
[2025-10-29 12:19:19] L137 codF:'0201403'->201403 | valor:'9.350'->9350
[2025-10-29 12:19:19] L138 codF:'0201404'->201404 | valor:'86.930'->86930
[2025-10-29 12:19:19] L139 codF:'0201405'->201405 | valor:'11.880'->11880
[2025-10-29 12:19:19] L140 codF:'0201406'->201406 | valor:'34.390'->34390
[2025-10-29 12:19:19] L141 codF:'0201407'->201407 | valor:'9.750'->9750
[2025-10-29 12:19:19] L142 codF:'0201501'->201501 | valor:'45.170'->45170
[2025-10-29 12:19:19] L143 codF:'0201502'->201502 | valor:'69.120'->69120
[2025-10-29 12:19:19] L144 codF:'0201503'->201503 | valor:'115.130'->115130
[2025-10-29 12:19:19] L145 codF:'0301002'->301002 | valor:'5.130'->5130
[2025-10-29 12:19:19] L146 codF:'0301003'->301003 | valor:'6.370'->6370
[2025-10-29 12:19:19] L147 codF:'0301006'->301006 | valor:'4.560'->4560
[2025-10-29 12:19:19] L148 codF:'0301007'->301007 | valor:'4.560'->4560
[2025-10-29 12:19:19] L149 codF:'0301008'->301008 | valor:'4.560'->4560
[2025-10-29 12:19:19] L150 codF:'0301011'->301011 | valor:'1.580'->1580
[2025-10-29 12:19:19] L151 codF:'0301013'->301013
[2025-10-29 12:19:19] L152 codF:'0301014'->301014 | valor:'1.250'->1250
[2025-10-29 12:19:19] L153 codF:'0301017'->301017 | valor:'4.790'->4790
[2025-10-29 12:19:19] L154 codF:'0301020'->301020 | valor:'1.580'->1580
[2025-10-29 12:19:19] L155 codF:'0301021'->301021 | valor:'2.260'->2260
[2025-10-29 12:19:19] L156 codF:'0301022'->301022 | valor:'4.560'->4560
[2025-10-29 12:19:19] L157 codF:'0301024'->301024 | valor:'2.260'->2260
[2025-10-29 12:19:19] L158 codF:'0301025'->301025 | valor:'4.790'->4790
[2025-10-29 12:19:19] L159 codF:'0301026'->301026 | valor:'5.820'->5820
[2025-10-29 12:19:19] L160 codF:'0301027'->301027 | valor:'4.790'->4790
[2025-10-29 12:19:19] L161 codF:'0301028'->301028 | valor:'2.260'->2260
[2025-10-29 12:19:19] L162 codF:'0301029'->301029 | valor:'4.790'->4790
[2025-10-29 12:19:19] L163 codF:'0301030'->301030 | valor:'5.820'->5820
[2025-10-29 12:19:19] L164 codF:'0301034'->301034 | valor:'2.580'->2580
[2025-10-29 12:19:19] L165 codF:'0301035'->301035 | valor:'4.310'->4310
[2025-10-29 12:19:19] L166 codF:'0301036'->301036
[2025-10-29 12:19:19] L167 codF:'0301038'->301038
[2025-10-29 12:19:19] L168 codF:'0301040'->301040 | valor:'4.790'->4790
[2025-10-29 12:19:19] L169 codF:'0301041'->301041 | valor:'4.970'->4970
[2025-10-29 12:19:19] L170 codF:'0301042'->301042
[2025-10-29 12:19:19] L171 codF:'0301044'->301044 | valor:'5.130'->5130
[2025-10-29 12:19:19] L172 codF:'0301045'->301045 | atencion:>100 -> trunc | valor:'3.280'->3280
[2025-10-29 12:19:19] L173 codF:'0301048'->301048
[2025-10-29 12:19:19] L174 codF:'0301049'->301049 | valor:'4.790'->4790
[2025-10-29 12:19:19] L175 codF:'0301051'->301051 | valor:'4.790'->4790
[2025-10-29 12:19:19] L176 codF:'0301054'->301054 | valor:'1.250'->1250
[2025-10-29 12:19:19] L177 codF:'0301059'->301059 | valor:'1.580'->1580
[2025-10-29 12:19:19] L178 codF:'0301062'->301062
[2025-10-29 12:19:19] L179 codF:'0301063'->301063
[2025-10-29 12:19:19] L180 codF:'0301064'->301064
[2025-10-29 12:19:19] L181 codF:'0301065'->301065
[2025-10-29 12:19:19] L182 codF:'0301066'->301066 | valor:'1.250'->1250
[2025-10-29 12:19:19] L183 codF:'0301067'->301067 | valor:'1.250'->1250
[2025-10-29 12:19:19] L184 codF:'0301068'->301068
[2025-10-29 12:19:19] L185 codF:'0301069'->301069 | valor:'1.960'->1960
[2025-10-29 12:19:19] L186 codF:'0301070'->301070 | valor:'3.210'->3210
[2025-10-29 12:19:19] L187 codF:'0301072'->301072 | valor:'1.580'->1580
[2025-10-29 12:19:19] L188 codF:'0301082'->301082 | valor:'5.660'->5660
[2025-10-29 12:19:19] L189 codF:'0301083'->301083 | valor:'1.960'->1960
[2025-10-29 12:19:19] L190 codF:'0301085'->301085 | valor:'2.500'->2500
[2025-10-29 12:19:19] L191 codF:'0301086'->301086
[2025-10-29 12:19:19] L192 codF:'0301089'->301089 | valor:'9.180'->9180
[2025-10-29 12:19:19] L193 codF:'0301090'->301090 | valor:'9.180'->9180
[2025-10-29 12:19:19] L194 codF:'0301091'->301091 | valor:'31.500'->31500
[2025-10-29 12:19:19] L195 codF:'0301092'->301092 | valor:'34.310'->34310
[2025-10-29 12:19:19] L196 codF:'0301093'->301093 | valor:'22.510'->22510
[2025-10-29 12:19:19] L197 codF:'0301094'->301094 | valor:'48.590'->48590
[2025-10-29 12:19:19] L198 codF:'0301095'->301095 | valor:'10.680'->10680
[2025-10-29 12:19:19] L199 codF:'0301096'->301096 | valor:'24.480'->24480
[2025-10-29 12:19:19] L200 codF:'0301097'->301097 | valor:'87.100'->87100
[2025-10-29 12:19:19] L201 codF:'0301098'->301098 | valor:'85.300'->85300
[2025-10-29 12:19:19] L202 codF:'0301099'->301099 | valor:'52.020'->52020
[2025-10-29 12:19:19] L203 codF:'0301100'->301100 | valor:'34.790'->34790
[2025-10-29 12:19:19] L204 codF:'0301101'->301101 | valor:'39.120'->39120
[2025-10-29 12:19:19] L205 codF:'0301102'->301102 | valor:'11.590'->11590
[2025-10-29 12:19:19] L206 codF:'0301103'->301103 | valor:'43.820'->43820
[2025-10-29 12:19:19] L207 codF:'0301104'->301104 | valor:'67.100'->67100
[2025-10-29 12:19:19] L208 codF:'0301105'->301105 | valor:'117.870'->117870
[2025-10-29 12:19:19] L209 codF:'0301106'->301106 | valor:'5.230'->5230
[2025-10-29 12:19:19] L210 codF:'0301107'->301107 | valor:'6.070'->6070
[2025-10-29 12:19:19] L211 codF:'0301108'->301108 | valor:'46.800'->46800
[2025-10-29 12:19:19] L212 codF:'0301109'->301109 | valor:'135.000'->135000
[2025-10-29 12:19:19] L213 codF:'0301110'->301110 | valor:'86.490'->86490
[2025-10-29 12:19:19] L214 codF:'0301111'->301111 | valor:'75.900'->75900
[2025-10-29 12:19:19] L215 codF:'0301112'->301112 | valor:'115.510'->115510
[2025-10-29 12:19:19] L216 codF:'0301113'->301113 | valor:'21.590'->21590
[2025-10-29 12:19:19] L217 codF:'0301114'->301114 | valor:'89.520'->89520
[2025-10-29 12:19:19] L218 codF:'0301115'->301115 | valor:'93.150'->93150
[2025-10-29 12:19:19] L219 codF:'0301116'->301116 | atencion:>100 -> trunc | valor:'4.970'->4970
[2025-10-29 12:19:19] L220 codF:'0302001'->302001
[2025-10-29 12:19:19] L221 codF:'0302002'->302002 | valor:'2.490'->2490
[2025-10-29 12:19:19] L222 codF:'0302004'->302004 | valor:'4.050'->4050
[2025-10-29 12:19:19] L223 codF:'0302005'->302005 | valor:'1.720'->1720
[2025-10-29 12:19:19] L224 codF:'0302008'->302008 | valor:'2.530'->2530
[2025-10-29 12:19:19] L225 codF:'0302009'->302009 | valor:'6.000'->6000
[2025-10-29 12:19:19] L226 codF:'0302010'->302010 | valor:'2.260'->2260
[2025-10-29 12:19:19] L227 codF:'0302070'->302070 | valor:'7.020'->7020
[2025-10-29 12:19:19] L228 codF:'0302011'->302011
[2025-10-29 12:19:19] L229 codF:'0302012'->302012 | valor:'1.430'->1430
[2025-10-29 12:19:19] L230 codF:'0302013'->302013 | valor:'1.580'->1580
[2025-10-29 12:19:19] L231 codF:'0302015'->302015 | valor:'1.250'->1250
[2025-10-29 12:19:19] L232 codF:'0302017'->302017 | valor:'2.260'->2260
[2025-10-29 12:19:19] L233 codF:'0302018'->302018 | valor:'5.130'->5130
[2025-10-29 12:19:19] L234 codF:'0302019'->302019 | valor:'3.490'->3490
[2025-10-29 12:19:19] L235 codF:'0302020'->302020 | valor:'1.660'->1660
[2025-10-29 12:19:19] L236 codF:'0302067'->302067 | valor:'1.480'->1480
[2025-10-29 12:19:19] L237 codF:'0302068'->302068 | valor:'2.200'->2200
[2025-10-29 12:19:19] L238 codF:'0302021'->302021 | valor:'3.200'->3200
[2025-10-29 12:19:19] L239 codF:'0302023'->302023 | valor:'1.450'->1450
[2025-10-29 12:19:19] L240 codF:'0302024'->302024 | valor:'3.200'->3200
[2025-10-29 12:19:19] L241 codF:'0302025'->302025 | atencion:Normalizada | valor:'5.130'->5130
[2025-10-29 12:19:19] L242 codF:'0302026'->302026 | valor:'3.910'->3910
[2025-10-29 12:19:19] L243 codF:'0302027'->302027 | valor:'10.680'->10680
[2025-10-29 12:19:19] L244 codF:'0302030'->302030 | valor:'2.340'->2340
[2025-10-29 12:19:19] L245 codF:'0302031'->302031 | valor:'6.370'->6370
[2025-10-29 12:19:19] L246 codF:'0302032'->302032 | valor:'1.330'->1330
[2025-10-29 12:19:19] L247 codF:'0302033'->302033 | valor:'6.370'->6370
[2025-10-29 12:19:19] L248 codF:'0302034'->302034 | atencion:>100 -> trunc | valor:'6.770'->6770
[2025-10-29 12:19:19] L249 codF:'0302035'->302035 | atencion:>100 -> trunc | valor:'6.090'->6090
[2025-10-29 12:19:19] L250 codF:'0302036'->302036 | valor:'2.260'->2260
[2025-10-29 12:19:19] L251 codF:'0302039'->302039 | valor:'6.190'->6190
[2025-10-29 12:19:19] L252 codF:'0302040'->302040 | valor:'1.460'->1460
[2025-10-29 12:19:19] L253 codF:'0302042'->302042 | valor:'1.880'->1880
[2025-10-29 12:19:19] L254 codF:'0302043'->302043
[2025-10-29 12:19:19] L255 codF:'0302045'->302045 | valor:'2.420'->2420
[2025-10-29 12:19:19] L256 codF:'0302046'->302046 | atencion:>100 -> trunc | valor:'4.030'->4030
[2025-10-29 12:19:19] L257 codF:'0302047'->302047 | valor:'1.450'->1450
[2025-10-29 12:19:19] L258 codF:'0302048'->302048 | valor:'6.500'->6500
[2025-10-29 12:19:19] L259 codF:'0302050'->302050 | valor:'4.790'->4790
[2025-10-29 12:19:19] L260 codF:'0302052'->302052 | valor:'2.260'->2260
[2025-10-29 12:19:19] L261 codF:'0302053'->302053 | valor:'2.490'->2490
[2025-10-29 12:19:19] L262 codF:'0302055'->302055 | valor:'3.200'->3200
[2025-10-29 12:19:19] L263 codF:'0302056'->302056 | valor:'3.200'->3200
[2025-10-29 12:19:19] L264 codF:'0302057'->302057 | valor:'1.450'->1450
[2025-10-29 12:19:19] L265 codF:'0302058'->302058 | valor:'1.830'->1830
[2025-10-29 12:19:19] L266 codF:'0302075'->302075 | valor:'9.180'->9180
[2025-10-29 12:19:19] L267 codF:'0302100'->302100 | valor:'1.570'->1570
[2025-10-29 12:19:19] L268 codF:'0302101'->302101 | valor:'1.570'->1570
[2025-10-29 12:19:19] L269 codF:'0302061'->302061 | valor:'6.660'->6660
[2025-10-29 12:19:19] L270 codF:'0302076'->302076 | atencion:>100 -> trunc | valor:'11.520'->11520
[2025-10-29 12:19:19] L271 codF:'0302063'->302063 | valor:'2.080'->2080
[2025-10-29 12:19:19] L272 codF:'0302064'->302064 | valor:'1.890'->1890
[2025-10-29 12:19:19] L273 codF:'0302066'->302066 | valor:'3.390'->3390
[2025-10-29 12:19:19] L274 codF:'0302077'->302077 | valor:'7.740'->7740
[2025-10-29 12:19:19] L275 codF:'0302078'->302078 | atencion:>100 -> trunc | valor:'15.430'->15430
[2025-10-29 12:19:19] L276 codF:'0302080'->302080 | valor:'48.790'->48790
[2025-10-29 12:19:19] L277 codF:'0302081'->302081 | valor:'2.210'->2210
[2025-10-29 12:19:19] L278 codF:'0302082'->302082 | valor:'8.700'->8700
[2025-10-29 12:19:19] L279 codF:'0302083'->302083 | valor:'21.290'->21290
[2025-10-29 12:19:19] L280 codF:'0302084'->302084 | valor:'69.700'->69700
[2025-10-29 12:19:19] L281 codF:'0302085'->302085 | valor:'34.120'->34120
[2025-10-29 12:19:19] L282 codF:'0302086'->302086 | valor:'19.150'->19150
[2025-10-29 12:19:19] L283 codF:'0302087'->302087 | valor:'7.880'->7880
[2025-10-29 12:19:19] L284 codF:'0302088'->302088 | valor:'58.460'->58460
[2025-10-29 12:19:19] L285 codF:'0302089'->302089 | valor:'48.000'->48000
[2025-10-29 12:19:19] L286 codF:'0302090'->302090 | valor:'2.470'->2470
[2025-10-29 12:19:19] L287 codF:'0302091'->302091 | valor:'54.280'->54280
[2025-10-29 12:19:19] L288 codF:'0302092'->302092 | valor:'15.330'->15330
[2025-10-29 12:19:19] L289 codF:'0302093'->302093 | atencion:>100 -> trunc | valor:'7.640'->7640
[2025-10-29 12:19:19] L290 codF:'0302094'->302094 | valor:'100.260'->100260
[2025-10-29 12:19:19] L291 codF:'0302095'->302095 | valor:'65.090'->65090
[2025-10-29 12:19:19] L292 codF:'0302096'->302096 | valor:'27.830'->27830
[2025-10-29 12:19:19] L293 codF:'0302097'->302097 | valor:'12.900'->12900
[2025-10-29 12:19:19] L294 codF:'0302098'->302098 | valor:'93.740'->93740
[2025-10-29 12:19:19] L295 codF:'0302099'->302099 | atencion:>100 -> trunc | valor:'111.060'->111060
[2025-10-29 12:19:19] L296 codF:'0302102'->302102 | valor:'34.720'->34720
[2025-10-29 12:19:19] L297 codF:'0302103'->302103 | valor:'11.370'->11370
[2025-10-29 12:19:19] L298 codF:'0302104'->302104 | valor:'33.400'->33400
[2025-10-29 12:19:19] L299 codF:'0302121'->302121 | valor:'40.350'->40350
[2025-10-29 12:19:19] L300 codF:'0303001'->303001 | valor:'8.820'->8820
[2025-10-29 12:19:19] L301 codF:'0303002'->303002 | valor:'7.610'->7610
[2025-10-29 12:19:19] L302 codF:'0303003'->303003 | valor:'5.690'->5690
[2025-10-29 12:19:19] L303 codF:'0303004'->303004 | valor:'6.910'->6910
[2025-10-29 12:19:19] L304 codF:'0303006'->303006 | valor:'5.690'->5690
[2025-10-29 12:19:19] L305 codF:'0303007'->303007 | valor:'7.610'->7610
[2025-10-29 12:19:19] L306 codF:'0303008'->303008 | valor:'7.610'->7610
[2025-10-29 12:19:19] L307 codF:'0303009'->303009 | valor:'5.410'->5410
[2025-10-29 12:19:19] L308 codF:'0303012'->303012 | valor:'7.610'->7610
[2025-10-29 12:19:19] L309 codF:'0303014'->303014 | valor:'5.650'->5650
[2025-10-29 12:19:19] L310 codF:'0303015'->303015 | valor:'5.650'->5650
[2025-10-29 12:19:19] L311 codF:'0303016'->303016 | valor:'5.650'->5650
[2025-10-29 12:19:19] L312 codF:'0303047'->303047 | valor:'13.180'->13180
[2025-10-29 12:19:19] L313 codF:'0303048'->303048 | atencion:Normalizada | valor:'13.180'->13180
[2025-10-29 12:19:19] L314 codF:'0303017'->303017 | valor:'5.650'->5650
[2025-10-29 12:19:19] L315 codF:'0303031'->303031 | valor:'15.230'->15230
[2025-10-29 12:19:19] L316 codF:'0303018'->303018 | valor:'8.650'->8650
[2025-10-29 12:19:19] L317 codF:'0303019'->303019 | valor:'5.650'->5650
[2025-10-29 12:19:19] L318 codF:'0303020'->303020 | valor:'5.650'->5650
[2025-10-29 12:19:19] L319 codF:'0303021'->303021 | valor:'7.610'->7610
[2025-10-29 12:19:19] L320 codF:'0303046'->303046 | valor:'13.180'->13180
[2025-10-29 12:19:19] L321 codF:'0303022'->303022 | valor:'5.690'->5690
[2025-10-29 12:19:19] L322 codF:'0303023'->303023 | valor:'6.910'->6910
[2025-10-29 12:19:19] L323 codF:'0303123'->303123 | valor:'14.080'->14080
[2025-10-29 12:19:19] L324 codF:'0303024'->303024 | valor:'4.940'->4940
[2025-10-29 12:19:19] L325 codF:'0303025'->303025 | valor:'7.610'->7610
[2025-10-29 12:19:19] L326 codF:'0303026'->303026 | valor:'5.650'->5650
[2025-10-29 12:19:19] L327 codF:'0303027'->303027 | valor:'4.940'->4940
[2025-10-29 12:19:19] L328 codF:'0303028'->303028 | valor:'4.940'->4940
[2025-10-29 12:19:19] L329 codF:'0303029'->303029 | valor:'7.610'->7610
[2025-10-29 12:19:19] L330 codF:'0303030'->303030 | valor:'5.650'->5650
[2025-10-29 12:19:19] L331 codF:'0303049'->303049 | atencion:>100 -> trunc | valor:'33.350'->33350
